,Unnamed: 0,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech
1073,1073,DylanStrain,Dylan S 🌍🌹#JC4PM #Sanders,147602027,1072818995932397568,/DylanStrain/status/1072818995932397568,2018-12-12 11:42:35,1544614955,"Heidi Allen pushing a coalition of Parliament to deliver Brexit.
#PoliticsLive
#NoConfidence","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Heidi Allen</strong> pushing a coalition of Parliament to deliver Brexit.
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PoliticsLive?src=hash""><s>#</s><b>PoliticsLive</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NoConfidence?src=hash""><s>#</s><b>NoConfidence</b></a></p>",[],"['PoliticsLive', 'NoConfidence']",False,[],,2,1,1,True,False,,[],neither
856,856,vickylittlewood,victoria littlewood,1140436597,1037039848379568128,/vickylittlewood/status/1037039848379568128,2018-09-04 18:09:01,1536084541,Tory MP Heidi Allen threatens to QUIT the party if Boris Johnson becomes leader and claims ‘a lot’ of Remainers would follow her out of the door. Please do you will save Boris the job of deselecting you all http://www.dailymail.co.uk/news/article-6129505/Tory-MP-Heidi-Allen-threatens-QUIT-Boris-Johnson-leader.html …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tory MP <strong>Heidi Allen</strong> threatens to QUIT the party if Boris Johnson becomes leader and claims ‘a lot’ of Remainers would follow her out of the door. Please do you will save Boris the job of deselecting you all <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://www.dailymail.co.uk/news/article-6129505/Tory-MP-Heidi-Allen-threatens-QUIT-Boris-Johnson-leader.html"" dir=""ltr"" href=""https://t.co/VBPfvI38mc"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.dailymail.co.uk/news/article-6129505/Tory-MP-Heidi-Allen-threatens-QUIT-Boris-Johnson-leader.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">dailymail.co.uk/news/article-6</span><span class=""invisible"">129505/Tory-MP-Heidi-Allen-threatens-QUIT-Boris-Johnson-leader.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://www.dailymail.co.uk/news/article-6129505/Tory-MP-Heidi-Allen-threatens-QUIT-Boris-Johnson-leader.html'],[],False,[],,1,2,0,False,False,,[],neither
1222,1222,mawstrategy2018,Michael Williams,1023684405796249600,1063149334135488513,/mawstrategy2018/status/1063149334135488513,2018-11-15 19:18:48,1542309528,Heidi Allen,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""nl""><strong>Heidi Allen</strong></p>",[],[],False,[],,0,0,0,False,True,1.0630353531777761e+18,"[{'screen_name': 'Brexshite', 'user_id': '2615090074'}, {'screen_name': 'RobertCPalmer13', 'user_id': '988050983031885824'}]",neither
3408,3408,Pumpkinpiez1,Pumpkinpie,714006801,1090257174163386372,/Pumpkinpiez1/status/1090257174163386372,2019-01-29 14:35:40,1548772540,Disabled people are going hungry. #CrocodileTears are not enough #HeidiAllen | Frances Ryan https://www.theguardian.com/society/2019/jan/29/disabled-people-hungry-thatcher-social-fabric?CMP=share_btn_tw …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Disabled people are going hungry. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CrocodileTears?src=hash""><s>#</s><b>CrocodileTears</b></a> are not enough <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HeidiAllen?src=hash""><s>#</s><b><strong>HeidiAllen</strong></b></a> | Frances Ryan <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.theguardian.com/society/2019/jan/29/disabled-people-hungry-thatcher-social-fabric?CMP=share_btn_tw"" dir=""ltr"" href=""https://t.co/hGEqAfZVRx"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.theguardian.com/society/2019/jan/29/disabled-people-hungry-thatcher-social-fabric?CMP=share_btn_tw""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">theguardian.com/society/2019/j</span><span class=""invisible"">an/29/disabled-people-hungry-thatcher-social-fabric?CMP=share_btn_tw</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.theguardian.com/society/2019/jan/29/disabled-people-hungry-thatcher-social-fabric?CMP=share_btn_tw'],"['CrocodileTears', 'HeidiAllen']",False,[],,0,0,0,False,False,,[],neither
2250,2250,deletedbyMPs,Tweets MPs Delete,1066949670,1086351495627452419,/deletedbyMPs/status/1086351495627452419,2019-01-18 19:55:54,1547841354,DT Heidi Allen MP: RT NR Press Office: Heidi Allen MP This bank holiday some services are impacted by #EasterWorks. Constituents are asked to check…  http://pltwps.it/_wEyYqGz ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Heidi Allen</strong> MP: RT NR Press Office: <strong>Heidi Allen</strong> MP This bank holiday some services are impacted by <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EasterWorks?src=hash""><s>#</s><b>EasterWorks</b></a>. Constituents are asked to check…  <a class=""twitter-timeline-link"" data-expanded-url=""http://pltwps.it/_wEyYqGz"" dir=""ltr"" href=""https://t.co/RJ3lYoZFFZ"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_wEyYqGz""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_wEyYqGz</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://pltwps.it/_wEyYqGz'],['EasterWorks'],False,[],,0,0,0,False,False,,[],neither
4243,4243,shedpal8,Bill Kay,177386560,1099727999711076353,/shedpal8/status/1099727999711076353,2019-02-24 17:49:21,1551030561,"Exclusive pic of Tory Brexit firebrands Heidi Allen, Anna Soubry and Sarah Wollaston https://twitter.com/socheshire/status/1099691155854381056 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Exclusive pic of Tory Brexit firebrands <strong>Heidi Allen</strong>, Anna Soubry and Sarah Wollaston <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/socheshire/status/1099691155854381056"" dir=""ltr"" href=""https://t.co/3oK47WtHfc"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/socheshire/status/1099691155854381056""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/socheshire/sta</span><span class=""invisible"">tus/1099691155854381056</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/socheshire/status/1099691155854381056'],[],False,[],,1,0,1,True,False,,[],neither
17,17,ToryMember,Tory Member,967861850409984001,1045302127898308613,/ToryMember/status/1045302127898308613,2018-09-27 13:20:22,1538054422,"Indignant - demonstrative of anger at a perceived wrong. 

As in “Heidi Allen comes across as indignant over Brexit, despite promising to support it when she needed votes, which is laughable”.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Indignant - demonstrative of anger at a perceived wrong. 

As in “<strong>Heidi Allen</strong> comes across as indignant over Brexit, despite promising to support it when she needed votes, which is laughable”.</p>",[],[],False,[],,0,0,0,False,True,1.0450382725803336e+18,"[{'screen_name': 'janiebear', 'user_id': '20985624'}, {'screen_name': 'heidiallen75', 'user_id': '426116125'}]",neither
1653,1653,PilateInStereo,Jim Sherwood,864421051194896384,1054388432213024769,/PilateInStereo/status/1054388432213024769,2018-10-22 15:06:06,1540220766,"I can sort of feel David Davis sitting on the toilet in the Commons and texting Heidi Allen ""you up?""","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I can sort of feel David Davis sitting on the toilet in the Commons and texting <strong>Heidi Allen</strong> ""you up?""</p>",[],[],False,[],,0,0,1,True,True,1.0543833101247816e+18,"[{'screen_name': 'youngvulgarian', 'user_id': '268809577'}]",neither
1391,1391,aceofspies64,Riley Cullum,709055234,1051843099041964032,/aceofspies64/status/1051843099041964032,2018-10-15 14:31:51,1539613911,Hope Heidi Allen is never in the position of facing the parents of a child or young person the victim of a serious crime perpetrated by an illegal immigrant she turned a blind eye for.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hope <strong>Heidi Allen</strong> is never in the position of facing the parents of a child or young person the victim of a serious crime perpetrated by an illegal immigrant she turned a blind eye for.</p>",[],[],False,[],,3,0,0,False,True,1.0518208331723203e+18,"[{'screen_name': 'oflynnsocial', 'user_id': '158021529'}, {'screen_name': 'oflynnmep', 'user_id': '1169240360641540096'}]",neither
2083,2083,anar_catt,KatⒶstrophe,1001871422573236226,1095681904194584578,/anar_catt/status/1095681904194584578,2019-02-13 13:51:37,1550065897,"“The Welfare safety net no longer holds people up, it tangles in their feet and drags them down.”

~ Heidi Allen (who voted for it all)","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“The Welfare safety net no longer holds people up, it tangles in their feet and drags them down.”

~ <strong>Heidi Allen</strong> (who voted for it all)</p>",[],[],False,[],,2,0,1,True,False,,[],neither
