,Unnamed: 0,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech
0,0,mmollymoonshine,Moonshine Molly,57285131.0,1.15757e+18,/mmollymoonshine/status/1157574190146433025,8/3/2019 8:49,1564822168,We have Iain Stewart and Mark Lancaster here,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We have Iain Stewart and <strong>Mark Lancaster</strong> here<img alt=""😳"" aria-label=""Emoji: Flushed face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f633.png"" title=""Flushed face""/></p>",[],[],False,[],,0,0,0,False,True,1.15705e+18,"[{'screen_name': 'AshleeMorgan66', 'user_id': '1705512620'}]",neither
1,1,mmollymoonshine,Moonshine Molly,57285131.0,1.15757e+18,/mmollymoonshine/status/1157574190146433025,8/3/2019 8:49,1564822168,We have Iain Stewart and Mark Lancaster here,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We have Iain Stewart and <strong>Mark Lancaster</strong> here<img alt=""😳"" aria-label=""Emoji: Flushed face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f633.png"" title=""Flushed face""/></p>",[],[],False,[],,0,0,0,False,True,1.15705e+18,"[{'screen_name': 'AshleeMorgan66', 'user_id': '1705512620'}]",neither
2,2,iainastewart,Iain Stewart,100260784.0,1.16345e+18,/iainastewart/status/1163447696700694528,8/19/2019 13:48,1566222521,"Over 2 months till the MK Big Chat event!
Mark Lancaster MP and myself, along with local businesses, want to celebrate what we already have achieved, create new partnerships and strengthen those that already exist. For information or to be involved
https://www.iainstewart.org.uk/news/book-stand-mk-big-chat …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><img alt=""🚨"" aria-label=""Emoji: Police cars revolving light"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6a8.png"" title=""Police cars revolving light""/>Over 2 months till the MK Big Chat event!<img alt=""🚨"" aria-label=""Emoji: Police cars revolving light"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6a8.png"" title=""Police cars revolving light""/>
<strong>Mark Lancaster</strong> MP and myself, along with local businesses, want to celebrate what we already have achieved, create new partnerships and strengthen those that already exist. For information or to be involved<img alt=""👇"" aria-label=""Emoji: Down pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447.png"" title=""Down pointing backhand index""/>
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.iainstewart.org.uk/news/book-stand-mk-big-chat"" dir=""ltr"" href=""https://t.co/1cffCStvbv"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.iainstewart.org.uk/news/book-stand-mk-big-chat""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">iainstewart.org.uk/news/book-stan</span><span class=""invisible"">d-mk-big-chat</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.iainstewart.org.uk/news/book-stand-mk-big-chat'],[],False,[],,7,6,3,True,False,,[],neither
3,3,FTusa284,Francis Tusa,275435324.0,1.16343e+18,/FTusa284/status/1163425787229421570,8/19/2019 12:21,1566217297,"I was wondering who Mark Lancaster reminded me of, until the epiphany... https://twitter.com/MarkLancasterMK/status/1163363143222996992 …pic.twitter.com/cmSxo5WKqU","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I was wondering who <strong>Mark Lancaster</strong> reminded me of, until the epiphany... <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/MarkLancasterMK/status/1163363143222996992"" dir=""ltr"" href=""https://t.co/qJwm85d3SH"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/MarkLancasterMK/status/1163363143222996992""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/MarkLancasterM</span><span class=""invisible"">K/status/1163363143222996992</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cmSxo5WKqU"">pic.twitter.com/cmSxo5WKqU</a></p>",['https://twitter.com/MarkLancasterMK/status/1163363143222996992'],[],True,['https://pbs.twimg.com/media/ECVRlZTX4AUTwmk.jpg'],,2,0,1,True,False,,[],neither
4,4,ric_mk,Ric Brackenbury,337135325.0,1.16325e+18,/ric_mk/status/1163250198522617856,8/19/2019 0:43,1566175434,"Hi Nigel,
I don't think either is listening.  Iain Stewart is a long-time Brexit fan and Mark Lancaster very loyal to Tory party. David Lidington in Aylesbury might be worth writing to.  Best, Ric","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi Nigel,
I don't think either is listening.  Iain Stewart is a long-time Brexit fan and <strong>Mark Lancaster</strong> very loyal to Tory party. David Lidington in Aylesbury might be worth writing to.  Best, Ric</p>",[],[],False,[],,0,0,0,False,True,1.16313e+18,"[{'screen_name': 'nschisnall', 'user_id': '53902793'}]",neither
5,5,ukfathers,David Mortimer,1331464566.0,1.16274e+18,/ukfathers/status/1162744717710364673,8/17/2019 15:15,1566054918,"Protect your constituents from RF radiation Mark Lancaster
https://www.linkedin.com/pulse/protect-your-constituents-from-rf-radiation-david-mortimer/?published=t …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Protect your constituents from RF radiation <strong>Mark Lancaster</strong>
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.linkedin.com/pulse/protect-your-constituents-from-rf-radiation-david-mortimer/?published=t"" dir=""ltr"" href=""https://t.co/Ir6AXwiHCw"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.linkedin.com/pulse/protect-your-constituents-from-rf-radiation-david-mortimer/?published=t""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">linkedin.com/pulse/protect-</span><span class=""invisible"">your-constituents-from-rf-radiation-david-mortimer/?published=t</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.linkedin.com/pulse/protect-your-constituents-from-rf-radiation-david-mortimer/?published=t'],[],False,[],,0,0,0,False,False,,[],neither
6,6,deletedbyMPs,Tweets MPs Delete,1066949670.0,1.16232e+18,/deletedbyMPs/status/1162319760966737922,8/16/2019 11:06,1565953600,"DT Mark Lancaster MP: RT UK Parliament: In 1819 around 2% of the population could vote. 

On 16 August 1819 60,000 people gathered in Manchester to demand repres… http://pltwps.it/_gxPmkM9 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Mark Lancaster</strong> MP: RT UK Parliament: In 1819 around 2% of the population could vote. 

On 16 August 1819 60,000 people gathered in Manchester to demand repres… <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://pltwps.it/_gxPmkM9"" dir=""ltr"" href=""https://t.co/hZRhVWkapQ"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_gxPmkM9""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_gxPmkM9</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://pltwps.it/_gxPmkM9'],[],False,[],,0,0,0,False,False,,[],neither
7,7,deletedbyMPs,Tweets MPs Delete,1066949670.0,1.16195e+18,/deletedbyMPs/status/1161948356870062085,8/15/2019 10:30,1565865050,DT Mark Lancaster MP: What a great idea from the @CraufurdArms! Wonderful to see #MiltonKeynes with such an amazing local venue … https://twitter.com/i/web/status/1161948273516658688 … http://pltwps.it/_nYPKgA5 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Mark Lancaster</strong> MP: What a great idea from the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""78344256"" dir=""ltr"" href=""/Craufurdarms""><s>@</s><b>CraufurdArms</b></a>! Wonderful to see <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MiltonKeynes?src=hash""><s>#</s><b>MiltonKeynes</b></a> with such an amazing local venue <img alt=""◽"" aria-label=""Emoji: White medium small square"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/25fd.png"" title=""White medium small square""/><img alt=""◽"" aria-label=""Emoji: White medium small square"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/25fd.png"" title=""White medium small square""/><img alt=""◽"" aria-label=""Emoji: White medium small square"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/25fd.png"" title=""White medium small square""/>… <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/i/web/status/1161948273516658688"" dir=""ltr"" href=""https://t.co/sn9DIktO7U"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/i/web/status/1161948273516658688""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/i/web/status/1</span><span class=""invisible"">161948273516658688</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://pltwps.it/_nYPKgA5"" dir=""ltr"" href=""https://t.co/CuAPmhMMIU"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_nYPKgA5""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_nYPKgA5</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>","['https://twitter.com/i/web/status/1161948273516658688', 'http://pltwps.it/_nYPKgA5']",['MiltonKeynes'],False,[],,0,0,0,False,False,,[],neither
8,8,iainastewart,Iain Stewart,100260784.0,1.16345e+18,/iainastewart/status/1163447696700694528,8/19/2019 13:48,1566222521,"Over 2 months till the MK Big Chat event!
Mark Lancaster MP and myself, along with local businesses, want to celebrate what we already have achieved, create new partnerships and strengthen those that already exist. For information or to be involved
https://www.iainstewart.org.uk/news/book-stand-mk-big-chat …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><img alt=""🚨"" aria-label=""Emoji: Police cars revolving light"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6a8.png"" title=""Police cars revolving light""/>Over 2 months till the MK Big Chat event!<img alt=""🚨"" aria-label=""Emoji: Police cars revolving light"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6a8.png"" title=""Police cars revolving light""/>
<strong>Mark Lancaster</strong> MP and myself, along with local businesses, want to celebrate what we already have achieved, create new partnerships and strengthen those that already exist. For information or to be involved<img alt=""👇"" aria-label=""Emoji: Down pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f447.png"" title=""Down pointing backhand index""/>
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.iainstewart.org.uk/news/book-stand-mk-big-chat"" dir=""ltr"" href=""https://t.co/1cffCStvbv"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.iainstewart.org.uk/news/book-stand-mk-big-chat""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">iainstewart.org.uk/news/book-stan</span><span class=""invisible"">d-mk-big-chat</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.iainstewart.org.uk/news/book-stand-mk-big-chat'],[],False,[],,7,6,3,True,False,,[],neither
9,9,FTusa284,Francis Tusa,275435324.0,1.16343e+18,/FTusa284/status/1163425787229421570,8/19/2019 12:21,1566217297,"I was wondering who Mark Lancaster reminded me of, until the epiphany... https://twitter.com/MarkLancasterMK/status/1163363143222996992 …pic.twitter.com/cmSxo5WKqU","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I was wondering who <strong>Mark Lancaster</strong> reminded me of, until the epiphany... <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/MarkLancasterMK/status/1163363143222996992"" dir=""ltr"" href=""https://t.co/qJwm85d3SH"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/MarkLancasterMK/status/1163363143222996992""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/MarkLancasterM</span><span class=""invisible"">K/status/1163363143222996992</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cmSxo5WKqU"">pic.twitter.com/cmSxo5WKqU</a></p>",['https://twitter.com/MarkLancasterMK/status/1163363143222996992'],[],True,['https://pbs.twimg.com/media/ECVRlZTX4AUTwmk.jpg'],,2,0,1,True,False,,[],neither
