,date,name,tweet,stance
0,02,Heidi Allen,Can’t imagine why we joined @TheIndGroup 😤🤬🤯 https://twitter.com/Anna_Soubry/status/1101163043671674884 …,irrelevant
1,02,Heidi Allen,"Is it just me, or are the two big parties demonstrating more and more every day, that they are not up to the challenges facing our country? Time for change @TheIndGroup #brokenpolitics",undecided
2,02,Heidi Allen,Agree Trailblazers- but on we go! https://twitter.com/MD_Trailblazers/status/1101146413222764544 …,irrelevant
3,02,Heidi Allen,My hero @AlbertoCostaMP 😻😻 https://twitter.com/GlennBBC/status/1100882431173890049 …,irrelevant
4,02,Heidi Allen,Well done for making this happen @EmmaLewellBuck ! https://www.theguardian.com/society/2019/feb/27/government-to-launch-uk-food-insecurity-index?CMP=share_btn_tw …,irrelevant
5,02,Heidi Allen,So good to have you on board Richard - thank you!,leave
6,02,Heidi Allen,Wonderful! Thank you!,irrelevant
7,02,Heidi Allen,Don’t forget @tracey_crouch too..... bit of a pattern with good people in the @Conservatives party.... https://twitter.com/PaulBrandITV/status/1100775972884889602 …,irrelevant
8,02,Heidi Allen,Loving his style!,irrelevant
9,02,Heidi Allen,Since when has standing up for UK citizens living in the EU and EU citizens here been a sackable offence?! What has happened to the  @Conservatives party? Shameful. Proud of @AlbertoCostaMP https://twitter.com/tnewtondunn/status/1100742823131996160 …,stay
10,02,Heidi Allen,And we’ve only just begun..... https://news.sky.com/story/the-band-of-11-who-broke-corbyn-and-may-on-brexit-11649454 …,leave
11,02,Heidi Allen,impressive spot!,stay
12,02,Heidi Allen,Proud to join the Derry Girls actors today as we marched across Westminster bridge for NI abortion rights #NowForNI https://www.bigissue.com/latest/derry-girls-actors-march-on-westminster-for-ni-abortion-rights/#.XHWteP_Zf5c.twitter …,leave
13,02,Heidi Allen,can't disagree with that.....,stay
14,02,Heidi Allen,Happy memories..... can only gaze through the window tonight.... ⁦@TheIndGroup⁩ pic.twitter.com/tuDQqkeYgu,irrelevant
15,02,Heidi Allen,Yeah! See you soon!,no sentiment
16,02,Heidi Allen,"I do so love to receive fan mail, trying to decide on my favourite bit, but so much to choose from.... pic.twitter.com/P7qjHAralX",irrelevant
17,02,Heidi Allen,"This inability to lead when the country needs it most, is one is the reasons I’ve joined @TheIndGroup https://twitter.com/Peston/status/1100394348372316160 …",leave
18,02,Heidi Allen,Looking at you @AmberRuddHR @Richard4Watford @AlistairBurtUK @margot_james_mp @Tobias_Ellwood @GregClarkMP @claireperrymp @DavidGauke https://twitter.com/SamCoatesSky/status/1100382217958817793 …,irrelevant
19,02,Heidi Allen,"So, to coin a phrase....nothing has changed. PM confirmed Parliament will have opportunity to vote for a v short ‘technical’ extension, but has NOT today taken ‘no deal’ off the table. Time for Ministers to step up...... @TheIndGroup pic.twitter.com/oERC7YeoPj",no sentiment
20,02,Heidi Allen,That’ll do TIGger!  😻🐯 @TheIndGroup https://twitter.com/SamCoatesSky/status/1100158640890228736 …,irrelevant
21,02,Heidi Allen,"Whoops, was I supposed to wait?! https://twitter.com/ChukaUmunna/status/1100121204093009921 …",stay
22,02,Heidi Allen,You know me!!,stay
23,02,Heidi Allen,😥,leave
24,02,Heidi Allen,Roulette all the way!,irrelevant
25,02,Heidi Allen,Ha! It isn't real!!,irrelevant
26,02,Heidi Allen,We will!,stay
27,02,Heidi Allen,Took your suggestion! Top idea!,no sentiment
28,02,Heidi Allen,"Great! Overwhelmed with joiners, but we will be in touch asap!",no sentiment
29,02,Heidi Allen,I'm sure @TheIndGroup admin team will confirm,stay
30,02,Heidi Allen,"Calling all TIGgers! If you want to be part of something amazing - join us to #ChangePolitics @TheIndGroup !

SIGN UP ➡️ https://www.theindependent.group/ ",stay
31,02,Heidi Allen,That's the plan!,leave
32,02,Heidi Allen,Hello Twitter - sorry for radio silence...have literally been bowled over by the support for me joining @TheIndGroup - can't keep up with messages! Thank you and here's to better days #itdoesnthavetobethisway,leave
33,02,Heidi Allen,Precisely! We didn’t!,no sentiment
34,02,Heidi Allen,Heidi Allen interview: How I made the decision to quit Tories and my hopes for Independent Group https://www.cambridgeindependent.co.uk/news/heidi-allen-interview-how-i-made-the-decision-to-quit-tories-and-my-hopes-for-independent-group-9062503/ …,leave
35,02,Heidi Allen,🤩,leave
36,02,Heidi Allen,Do you have any idea how many copies of that book I got given as a child?!?! 🤣,no sentiment
37,02,Heidi Allen,"Thx Andrew, lot of unhappy constituents getting these ads!",stay
38,02,Heidi Allen,It should!,stay
39,02,Heidi Allen,Yes I will - seems sensible location.,leave
40,02,Heidi Allen,That’s not my constituency Anthony,no sentiment
41,02,Heidi Allen, https://www.heidisouthcambs.co.uk/news/heidi-allen-mp-welcomes-selection-a428-route-and-urges-highways-england-get-it …,irrelevant
42,02,Heidi Allen,More detail on the A428 route announced today  - now we need to get on with it!  https://www.heidisouthcambs.co.uk/news/heidi-allen-mp-welcomes-selection-a428-route-and-urges-highways-england-get-it …,irrelevant
43,02,Heidi Allen,"Oi! Do you mind, this is really important for my constituents actually!!!",irrelevant
44,02,Heidi Allen,"Really great news that @HighwaysEAST have announced the ‘orange’ route for the A428 A1 to Caxton Gibbet road upgrade. I’ll post more details later, just pulling an update document together!",no sentiment
45,02,Heidi Allen,It’s brilliant news- press release out soon!,no sentiment
46,02,Heidi Allen,Thank you,irrelevant
47,02,Heidi Allen,How far we have come.....,stay
48,02,Heidi Allen,Thanks Nicky,irrelevant
49,02,Heidi Allen,No - just normal for an MP to respond to their constituents.,leave
50,02,Heidi Allen,Thank you!,irrelevant
51,02,Heidi Allen,Thanks Tim,irrelevant
52,02,Heidi Allen,Thank you Salvo!,stay
53,02,Heidi Allen,Thanks Nuno,irrelevant
54,02,Heidi Allen,I can’t disagree with a word you say.,leave
55,02,Heidi Allen,Remain seat actually,stay
56,02,Heidi Allen,"You’re not democratically elected, don’t represent my constituents, are not in a position to make informed economic assessments nor are responsible for the livelihoods and well being of every citizen in this country - get off my timeline. @RightToVote_UK https://twitter.com/LeaveEUOfficial/status/1097065196944846849 …",leave
57,02,Heidi Allen,😘,leave
58,02,Heidi Allen,"Hi Mark - yes! Cracking game, we so deserved to win....",stay
59,02,Heidi Allen,Thank you Miles!,stay
60,02,Heidi Allen,Thanks m’lovely!,irrelevant
61,02,Heidi Allen, pic.twitter.com/4fG6qfcxEe,irrelevant
62,02,Heidi Allen,🙀,leave
63,02,Heidi Allen,Today is #FuelPovertyAwarenessDay - Can you save money on your energy bills through @LEAPService ? https://www.youtube.com/watch?v=LWs9x1yCGeM …,irrelevant
64,02,Heidi Allen,Thanks Jo!,stay
65,02,Heidi Allen,That’s one way of looking at it! https://twitter.com/faisalislam/status/1096113285269778432 …,irrelevant
66,02,Heidi Allen,"I honestly have no idea what this is all about, and nor tbh is it my business. I am just grateful we were allowed to visit and hear from locals.",stay
67,02,Heidi Allen,"By attempting to negotiate with the uncompromising ERG, we knew this would happen. We told her and told her. Parliament MUST be allowed to find consensus and if we can’t #righttovote https://twitter.com/bbcnickrobinson/status/1096104606126563330 …",leave
68,02,Heidi Allen,Bang on the money Nick https://twitter.com/NickBoles/status/1096104144316874752 …,leave
69,02,Heidi Allen,My Brexit update as the debate begins today.... https://www.heidisouthcambs.co.uk/news/14th-february-2019-brexit-update-heidi-allen-mp …,no sentiment
70,02,Heidi Allen,#righttovote https://twitter.com/conservative4pv/status/1096017324610670592 …,leave
71,02,Heidi Allen,Thx Sandra,irrelevant
72,02,Heidi Allen,My interview on BBC WATO this week  https://www.heidisouthcambs.co.uk/12th-february-2019-heidi-allen-mp-discusses-universal-credit-and-increased-food-bank-use-todays-bbc … and PMQ   https://www.heidisouthcambs.co.uk/13th-february-2019-heidi-allen-mp-urges-prime-minister-cancel-five-week-wait-universal-credit-and … on Universal Credit - we must end the benefit freeze and 5 week wait.,leave
73,02,Heidi Allen, pic.twitter.com/YTsWd11cMh,irrelevant
74,02,Heidi Allen,I didn’t . But will catch up on iplayer at the weekend when I get home,irrelevant
75,02,Heidi Allen,I understand the Audit & Accs Comm are looking at it on 28th March,no sentiment
76,02,Heidi Allen,Pls do email me with further details and happy to work with police,no sentiment
77,02,Heidi Allen,Please don’t swear at me Craig,leave
78,02,Heidi Allen,Part of the problem. We’ve blinked far too often https://twitter.com/tnewtondunn/status/1095380339126620161 …,leave
79,02,Heidi Allen,"It’s illegal and abhorrent, if I knew it was going on, I would ask @SouthCambsCops to investigate",leave
80,02,Heidi Allen,Nooooooooooo!,irrelevant
81,02,Heidi Allen,@GregClarkMP @Richard4Watford https://twitter.com/TangleScratch/status/1095593125115031552 …,irrelevant
82,02,Heidi Allen,Not sure it’s been tabled yet. But yes I would and any similar amendments,no sentiment
83,02,Heidi Allen,We’re absolutely doing that.,no sentiment
84,02,Heidi Allen,Have you seen this @GregClarkMP @Richard4Watford ??? https://twitter.com/DavidCleevely/status/1094916009276919808 …,leave
85,02,Heidi Allen,This makes me so angry - I’m sorry David. You have my word that I am doing everything in my power to try and drive some sense and backbone into my colleagues.,stay
86,02,Heidi Allen,No I wasn’t- we are starting to lose the   best we have in this country. I will do everything in my power to ensure we don’t completely trash our economy,leave
87,02,Heidi Allen,"Coming, I hope!",stay
88,02,Heidi Allen,So right Rachel @thetimes 🐘 pic.twitter.com/JD7poq0Uxn,irrelevant
89,02,Heidi Allen,Never ages..... @Number10cat https://twitter.com/Number10cat/status/1085493208845557761 …,irrelevant
