,date,name,tweet,stance
0,09,Justine Greening,Social mobility is a problem for business too - I hope that more businesses can commit to ⁦@thesmpledge⁩ and be part of the solution on getting more opportunities for more young people. #socialmobility https://www.managementtoday.co.uk/justine-greening-the-link-effort-reward-broken-down/food-for-thought/article/1660695 …,leave
1,09,Justine Greening,Boris Johnson should give the British people the details of the Brexit Deal he’s negotiating on our behalf with Brussels. #wherestheplan https://www.theguardian.com/commentisfree/2019/sep/29/boris-johnson-brexit-plan …,leave
2,09,Justine Greening,....and of course the wonderful @SingSwellChoir! #Southfields #Putney #Roehampton pic.twitter.com/FhsnIMmBQt,irrelevant
3,09,Justine Greening,"Fab to be at the @southfieldsharv festival today at @stbarnabasUK church - brilliant event as ever with lots to do, @GreenTheGrid and local produce to try and buy.... #Southfields pic.twitter.com/DhKHhq4XFH",no sentiment
4,09,Justine Greening,Very pleased that Parliament is back today and we can get on with business - I’ve asked the Speaker for an Urgent Question to @hmtreasury Ministers on the #loancharge review.,no sentiment
5,09,Justine Greening,"It was great to see everyone at #Roehampton Garden Society Autumn Fair this afternoon! Lots of wonderful flower, fruit and veg exhibits from our local allotments and perfect weather aswell. #putney #southfields pic.twitter.com/ukEVtwX18Y",no sentiment
6,09,Justine Greening,Great to help launch the new Friends of @WimbledonCommon last night on a very atmospheric Wimbledon Common by the Windmill and with fellow local MP @S_Hammond. If you love our beautiful Wimbledon and Putney Commons then join up! #putney #roehampton #southfields #wimbledon,no sentiment
7,09,Justine Greening,Respond to the latest #HeathrowAirport consultation before it closes at 11.55pm today. It’s vital we say no to the third runway & we don’t trust the promises #Heathrow make. We should protect our local environment & reduce aircraft noise not make it worse. https://www.heathrowconsultation.com/ ,leave
8,09,Justine Greening,Great to have @mearsgroup part of @thesmpledge. I’m looking forward to being able to put even more focus on our #socialmobility campaign and work on the ground. #opportunity #aspiration https://twitter.com/thesmpledge/status/1169623632785661953 …,irrelevant
9,09,Justine Greening,Very kind of you to say!😉 https://twitter.com/JonathanPlaid/status/1169929300457508864 …,irrelevant
10,09,Justine Greening,.@JoJohnsonUK it was fantastic working with you at the DfE and it’s a real loss for Parliament. But you’re totally right that national interest comes first. #overandout https://twitter.com/JoJohnsonUK/status/1169555292918571008 …,leave
11,09,Justine Greening,My letter to @BorisJohnson on why I’ve decided not to stand for @Conservatives at the next election. It’s a privilege to serve as MP for #Putney #Roehampton & #Southfields. I’ll continue to speak up for our community in Parliament & campaign on #socialmobility with @thesmpledge. pic.twitter.com/CFEMWqsm0s,leave
12,08,Justine Greening,"Had fab time with @RoehamptonCC getting along new younger members yesterday evening - including a girl’s team too, so get in touch with them if you want to start playing cricket! I even played a few shots myself - loved it! #Putney #Southfields #Roehampton pic.twitter.com/2p8Qkrh5fQ",irrelevant
13,08,Justine Greening,Yes I have signed the Church House Statement.,leave
14,08,Justine Greening,"Totally wrong to prorogue Parliament. Everyone can see this for what it is, a grubby attempt to force No Deal. As Privy Cllr & MP, I cannot support putting the Queen in an impossible position & closing down debate. Take back control now = take away control https://www.bbc.co.uk/news ",leave
