,Unnamed: 0,Unnamed: 0.1,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech,month,negativewords,positivewords
0,1593,1593,JimPickworth,jimbobags67,946852621,1138545291156697088,/JimPickworth/status/1138545291156697088,2019-06-11 20:35:25,1560285325,Alan Duncan: everyone who has ever worked with Boris is voting for someone else,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Alan Duncan</strong>: everyone who has ever worked with Boris is voting for someone else</p>",[],[],False,[],,0,0,0,False,True,1.1383588568311604e+18,"[{'screen_name': 'tomcopley', 'user_id': '134799789'}]",neither,6,0,0
1,465,465,PixieSteven,#CatsofDurham PRINCESS AND THOMAS #FindMissingKobe,810773762362707968,1142415909996441600,/PixieSteven/status/1142415909996441600,2019-06-22 12:55:52,1561208152,Alan Duncan says Conservative Home is âirrelevantâ. Itâs mostly members that read it and only members that take part in polls.More votes for Boris,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Alan Duncan</strong> says Conservative Home is âirrelevantâ. Itâs mostly members that read it and only members that take part in polls.More votes for Boris</p>",[],[],False,[],,3,2,0,False,False,,[],neither,6,0,2
2,1615,1615,G3JKL,John Lovell,20597212,1138415257381212160,/G3JKL/status/1138415257381212160,2019-06-11 11:58:42,1560254322,Alan Duncan squirming around....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Alan Duncan</strong> squirming around....</p>",[],[],False,[],,7,1,0,False,True,1.1384131514002104e+18,"[{'screen_name': 'LeaveEUOfficial', 'user_id': '3362016513'}, {'screen_name': 'JuliaHB1', 'user_id': '459390022'}]",neither,6,0,0
3,490,490,Dr_Theodora,Theodora Christou,1324666688,1141100396913598474,/Dr_Theodora/status/1141100396913598474,2019-06-18 21:48:29,1560894509,"Helena Smith joins Alan Duncan Smith to say that #Turkey is  ""in waters considered part of Cyprusâs exclusive economic zone"" Considered!?! According to the law TR is clearly within the territory of #Cyprus Allies of TR are not likely to feel limited by lawhttps://www.theguardian.com/world/2019/jun/18/greece-and-cyprus-call-on-eu-to-punish-turkey-in-drilling-disputeÂ â¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Helena Smith joins <strong>Alan Duncan</strong> Smith to say that <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Turkey?src=hash""><s>#</s><b>Turkey</b></a> is  ""in waters considered part of Cyprusâs exclusive economic zone"" Considered!?! According to the law TR is clearly within the territory of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Cyprus?src=hash""><s>#</s><b>Cyprus</b></a> Allies of TR are not likely to feel limited by law<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.theguardian.com/world/2019/jun/18/greece-and-cyprus-call-on-eu-to-punish-turkey-in-drilling-dispute"" dir=""ltr"" href=""https://t.co/5JfBcLaZkH"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.theguardian.com/world/2019/jun/18/greece-and-cyprus-call-on-eu-to-punish-turkey-in-drilling-dispute""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">theguardian.com/world/2019/jun</span><span class=""invisible"">/18/greece-and-cyprus-call-on-eu-to-punish-turkey-in-drilling-dispute</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a></p>",['https://www.theguardian.com/world/2019/jun/18/greece-and-cyprus-call-on-eu-to-punish-turkey-in-drilling-dispute'],"['Turkey', 'Cyprus']",False,[],,10,3,3,True,False,,[],neither,6,0,0
4,1926,1926,Johnallsopp12,THE NORTHERNER ð¬ð§ð¤ª,1096481855111655424,1149961723862011904,/Johnallsopp12/status/1149961723862011904,2019-07-13 08:40:14,1563007214,"Let's have a quick look at part of the WA, and Alan Duncan involvement. https://twitter.com/VeteransBritain/status/1146773427329671168?s=19Â â¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Let's have a quick look at part of the WA, and <strong>Alan Duncan</strong> involvement. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/VeteransBritain/status/1146773427329671168?s=19"" dir=""ltr"" href=""https://t.co/8jjM7binj4"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/VeteransBritain/status/1146773427329671168?s=19""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/VeteransBritai</span><span class=""invisible"">n/status/1146773427329671168?s=19</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a></p>",['https://twitter.com/VeteransBritain/status/1146773427329671168?s=19'],[],False,[],,0,0,0,False,True,1.1493076271737446e+18,"[{'screen_name': 'TheFogeys', 'user_id': '720098948736790528'}]",neither,7,0,1
5,366,366,Peacelinks,David Pybus,42258414,1125466648985645062,/Peacelinks/status/1125466648985645062,2019-05-06 18:25:33,1557167133,"So the #Empire strikes back but empires never survive. Back in 2009 Sir Alan Duncan changes his mind when the MPs expenses scandal surfaced, as the BBC recorded https://www.youtube.com/watch?v=y6xO4xEebNUÂ â¦. #hignfy 
If he can change it once, he can do it again over #Chagoshttps://twitter.com/CHAGOSISLANDERS/status/1123902390120394755Â â¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">So the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Empire?src=hash""><s>#</s><b>Empire</b></a> strikes back but empires never survive. Back in 2009 Sir <strong>Alan Duncan</strong> changes his mind when the MPs expenses scandal surfaced, as the BBC recorded <a class=""twitter-timeline-link"" data-expanded-url=""https://www.youtube.com/watch?v=y6xO4xEebNU"" dir=""ltr"" href=""https://t.co/BMdMSrOOjD"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.youtube.com/watch?v=y6xO4xEebNU""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">youtube.com/watch?v=y6xO4x</span><span class=""invisible"">EebNU</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hignfy?src=hash""><s>#</s><b>hignfy</b></a> 
If he can change it once, he can do it again over <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Chagos?src=hash""><s>#</s><b>Chagos</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CHAGOSISLANDERS/status/1123902390120394755"" dir=""ltr"" href=""https://t.co/3verwDimWB"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CHAGOSISLANDERS/status/1123902390120394755""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CHAGOSISLANDER</span><span class=""invisible"">S/status/1123902390120394755</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a></p>","['https://www.youtube.com/watch?v=y6xO4xEebNU', 'https://twitter.com/CHAGOSISLANDERS/status/1123902390120394755']","['Empire', 'hignfy', 'Chagoshttps']",False,[],,0,0,0,False,False,,[],neither,5,0,0
6,907,907,gordonrayner,Gordon Rayner,23753368,1135889187897511936,/gordonrayner/status/1135889187897511936,2019-06-04 12:41:00,1559652060,"International Trade Secretary Liam Fox and Foreign Office minister Sir Alan Duncan among those given front row seats for press conference, along with the Trump family","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">International Trade Secretary Liam Fox and Foreign Office minister Sir <strong>Alan Duncan</strong> among those given front row seats for press conference, along with the Trump family</p>",[],[],False,[],,1,1,0,False,False,,[],neither,6,1,0
7,3429,3429,Reikilass,Shona Davidson  #ProtectJulian,59704231,1156221399054323712,/Reikilass/status/1156221399054323712,2019-07-30 15:13:57,1564499637,"Shocking but not surprising to me. Termination of Julian Assange's asylum was negotiated by former MP Alan Duncan/UK collaboration.  He must be so proud of his a
achievements.  What is his reward?  #FreeAssangehttps://twitter.com/greekemmy/status/1153280598582145024Â â¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Shocking but not surprising to me. Termination of Julian Assange's asylum was negotiated by former MP <strong>Alan Duncan</strong>/UK collaboration.  He must be so proud of his a
achievements.  What is his reward?  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FreeAssange?src=hash""><s>#</s><b>FreeAssange</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/greekemmy/status/1153280598582145024"" dir=""ltr"" href=""https://t.co/8lhrkORFVR"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/greekemmy/status/1153280598582145024""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/greekemmy/stat</span><span class=""invisible"">us/1153280598582145024</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a></p>",['https://twitter.com/greekemmy/status/1153280598582145024'],['FreeAssangehttps'],False,[],,45,33,7,True,False,,[],neither,7,1,2
8,2149,2149,quiscustodis,Helen Pen,2598792687,1186537081629282304,/quiscustodis/status/1186537081629282304,2019-10-22 06:57:39,1571727459,Sir Alan Duncan,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Sir <strong>Alan Duncan</strong></p>",[],[],False,[],,0,0,0,False,True,1.1861936292761928e+18,"[{'screen_name': 'SocialM85897394', 'user_id': '879333486724861952'}]",neither,10,0,0
9,1222,1222,ravinaik,Ravi Naik ð»ð,19334264,1175690850975834112,/ravinaik/status/1175690850975834112,2019-09-22 08:38:36,1569141516,Looks compelling. It's the despair on Alan Duncan's face throughout the trailer that gets me...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Looks compelling. It's the despair on <strong>Alan Duncan</strong>'s face throughout the trailer that gets me...</p>",[],[],False,[],,2,0,0,False,True,1.1756691553889608e+18,"[{'screen_name': 'louisa_compton', 'user_id': '1039577318'}, {'screen_name': 'chriswarburton_', 'user_id': '186047604'}]",neither,9,0,1
