,date,name,tweet,stance
0,10,Nicky Morgan,And it has always been a huge pleasure to work with you & write for @ConHome https://twitter.com/PaulGoodmanCH/status/1189832718877675520 …,stay
1,10,Nicky Morgan,Thank you Tony - a huge pleasure to work with you too,stay
2,10,Nicky Morgan,Thank you!,irrelevant
3,10,Nicky Morgan,"For the first time in 18 years I won't be a candidate in the next General Election. I've loved being #Loughborough's voice in Westminster since 2010 & being DCMS Secretary - & I look forward to supporting the PM, Government, Conservative Party and my successor in the future pic.twitter.com/xhH11bxd3C",leave
4,10,Nicky Morgan,Very pleased to see this happen https://twitter.com/hzeffman/status/1189247210808066049 …,stay
5,10,Nicky Morgan,Lovely to see the Year 5 and 6 pupils from St Mary's Catholic Primary School #Loughborough visiting @UKParliament today - good day to choose! pic.twitter.com/jDWOtCpKmL,no sentiment
6,10,Nicky Morgan,Honoured to be included in Diwali celebrations at Geeta Bhavan & BAPS Swaminarayan Mandir in #Loughborough today  https://www.instagram.com/p/B4I1XW3gCeH/?igshid=1v3m4woj0rzbg …,no sentiment
7,10,Nicky Morgan,Good luck with the book - a privilege to be included https://twitter.com/SavranLtd/status/1186350238153543681 …,leave
8,10,Nicky Morgan,Happy #Diwali2019 to everyone celebrating today pic.twitter.com/8ki9FjnYrz,no sentiment
9,10,Nicky Morgan,Amazing! Massive congratulations @EnglandRugby #ENGvNZL https://twitter.com/rugbyworldcup/status/1188032485202055171 …,leave
10,10,Nicky Morgan,How we are working to ensure better mobile connectivity across the whole UK https://www.telegraph.co.uk/news/2019/10/25/britains-rural-communities-must-not-left-behind-digital-revolution/amp/ …,leave
11,10,Nicky Morgan,Go @EnglandRugby England - good start! https://twitter.com/EnglandRugby/status/1188003346990485504 …,irrelevant
12,10,Nicky Morgan,#Loughborough has been announced as one of the towns to receive investment from the @mhclg Towns Fund - have your say on what you'd like to see happening locally at  https://www.facebook.com/MyTownCampaign/  pic.twitter.com/Ol9PyILV6m,stay
13,10,Nicky Morgan,"Delighted to announce today a further £12 million for youth projects across the country. I have written about our ongoing commitment to young people for @civilsocietyUK"" 👇 https://www.civilsociety.co.uk/voices/nicky-morgan-i-m-delighted-to-announce-that-existing-youth-projects-across-the-country-will-receive-an-immediate-12-million-boost.html …",leave
