,date,name,tweet,classofspeech
0,2019-10-31,Nicky Morgan,And it has always been a huge pleasure to work with you & write for @ConHome https://twitter.com/PaulGoodmanCH/status/1189832718877675520Â â¦,neither
1,2019-10-31,Nicky Morgan,Thank you Tony - a huge pleasure to work with you too,neither
2,2019-10-31,Nicky Morgan,Thank you!,neither
3,2019-10-31,Nicky Morgan,"For the first time in 18 years I won't be a candidate in the next General Election. I've loved being #Loughborough's voice in Westminster since 2010 & being DCMS Secretary - & I look forward to supporting the PM, Government, Conservative Party and my successor in the future pic.twitter.com/xhH11bxd3C",neither
4,2019-10-30,Nicky Morgan,Very pleased to see this happen https://twitter.com/hzeffman/status/1189247210808066049Â â¦,neither
5,2019-10-29,Nicky Morgan,Lovely to see the Year 5 and 6 pupils from St Mary's Catholic Primary School #Loughborough visiting @UKParliament today - good day to choose! pic.twitter.com/jDWOtCpKmL,neither
6,2019-10-28,Nicky Morgan,Honoured to be included in Diwali celebrations at Geeta Bhavan & BAPS Swaminarayan Mandir in #Loughborough today  https://www.instagram.com/p/B4I1XW3gCeH/?igshid=1v3m4woj0rzbgÂ â¦,neither
7,2019-10-27,Nicky Morgan,Good luck with the book - a privilege to be included https://twitter.com/SavranLtd/status/1186350238153543681Â â¦,neither
8,2019-10-27,Nicky Morgan,Happy #Diwali2019 to everyone celebrating today pic.twitter.com/8ki9FjnYrz,neither
9,2019-10-26,Nicky Morgan,Amazing! Massive congratulations @EnglandRugby #ENGvNZL https://twitter.com/rugbyworldcup/status/1188032485202055171Â â¦,neither
10,2019-10-26,Nicky Morgan,How we are working to ensure better mobile connectivity across the whole UK https://www.telegraph.co.uk/news/2019/10/25/britains-rural-communities-must-not-left-behind-digital-revolution/amp/Â â¦,neither
11,2019-10-26,Nicky Morgan,Go @EnglandRugby England - good start! https://twitter.com/EnglandRugby/status/1188003346990485504Â â¦,neither
12,2019-10-26,Nicky Morgan,#Loughborough has been announced as one of the towns to receive investment from the @mhclg Towns Fund - have your say on what you'd like to see happening locally at  https://www.facebook.com/MyTownCampaign/Â  pic.twitter.com/Ol9PyILV6m,neither
13,2019-10-25,Nicky Morgan,"Delighted to announce today a further Â£12 million for youth projects across the country. I have written about our ongoing commitment to young people for @civilsocietyUK"" ð https://www.civilsociety.co.uk/voices/nicky-morgan-i-m-delighted-to-announce-that-existing-youth-projects-across-the-country-will-receive-an-immediate-12-million-boost.htmlÂ â¦",neither
14,2019-10-25,Nicky Morgan,"Today we have announced a Â£1bn deal with mobile phone providers, so that people will automatically be switched to the provider with the best signal, no matter what network they are on. We are determined that people & businesses across the UK have access to the signal they need pic.twitter.com/xnQCN7N62o",neither
15,2019-10-25,Nicky Morgan,"We want everyone to get a great 4G signal anywhere they are, no matter which provider they are with https://twitter.com/DCMS/status/1187614535928242176Â â¦",neither
16,2019-10-24,Nicky Morgan,Excellent news https://twitter.com/MattHancock/status/1187299195813806085Â â¦,neither
17,2019-10-23,Nicky Morgan,Great pleasure and thank you for an excellent report https://twitter.com/CBItweets/status/1187027910114328576Â â¦,neither
18,2019-10-23,Nicky Morgan,I do my box every morning to @ClassicFM so I was thrilled to visit the studios at Global this morning! Thank you @realaled for the explanation of all the tech pic.twitter.com/1dIcNol5Rr,neither
19,2019-10-23,Nicky Morgan,"Wonderful start to a Wednesday @youngvictheatre to say a few words @whatnextculture meeting. Culture & the arts are fundamental to enriching lives, building character resilience & contributing to mental wellbeing in young people & I will continue to champion them in my role @DCMS pic.twitter.com/5PeHcWg6NO",neither
20,2019-10-23,Nicky Morgan,"The National Cyber Security Centre runs the CyberFirst Girls' Competition to introduce Year 8 girls to the world of and careers in cyber security. To find out more about the competition, and for schools to register from 2 Dec 2019, then please do visit:  https://www.ncsc.gov.uk/section/cyberfirst/girls-competitionÂ â¦ pic.twitter.com/D9Gnr2mi3V",neither
21,2019-10-22,Nicky Morgan,Delighted to say a few words at an event being held in @DCMS for #blackhistorymonth - recognising the vital contributions people of African & Caribbean backgrounds have made. The department & I will keep pushing for diversity of thought & fairer representation across the board pic.twitter.com/OkOKJOYQLz,neither
22,2019-10-21,Nicky Morgan,The first @HelpforHeroes Community Recovery Programme is being held in Loughborough tomorrow - details on the attached poster pic.twitter.com/mvDn0KbQ4g,neither
23,2019-10-21,Nicky Morgan,It was a pleasure to attend @TwycrossZoo Parliamentary reception to hear about their Vision 2030 plans and the National Science and Conservation Centre - partners include @lborouniversity https://www.youtube.com/watch?v=6RVHTxB7eEkÂ â¦,neither
24,2019-10-19,Nicky Morgan,Thanks for your support - you had a more productive day than we did!,neither
