,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
49,49,1573055246,Melton Blue,"Thank you @AlanDuncanMP, the MBTeam have heard many tributes to you from people of the cases you took up on behalf of your constituents. https://twitter.com/meltontimes/status/1192098414307291136Â Â",,[],offensive_language
111,111,1556686668,RB Politico,@10DowningStreet @DLidington Say it ain't so...?,,[],offensive_language
151,151,1556912997,Malcolm Hay,"The whole damn political establishment is in denial - a hurricane is approaching and they have all got their heads in the sand pretending everything is normal - just listening to May in Wales, she's absolutely delusional - they really do deserve everything that's coming",,[],offensive_language
153,153,1556910381,Anonymous,"#FreeNazanin Her mental health shocked her psychiatrist who recommended immediate hospitalization.

This has not happened!

The Iranians are playing games with her life and she needs your help NOW

We need MPs to help! @HuddlestonNigel @TomTugendhat @DLidington @andrealeadsompic.twitter.com/pWB3xwqg0o",,['FreeNazanin'],offensive_language
155,155,1556903805,Anonymous,@HuddlestonNigel @StuartAndrew @PennyMordaunt @georgegalloway @DLidington How can you save your citizen who is now trying to take her own life as she has been hostage 3 years in Iran over your country's debt? She has suffered drastically over THIS DEBT! #FreeNazanin @Jeremy_Huntpic.twitter.com/N5cGrciBLn,,['FreeNazanin'],offensive_language
184,184,1556977329,Stewart Campbell,@sajidjavid @DLidington @theresa_may Come on is it really that hard for you to UNDERSTAND??? the PEOPLE DO NOT WANT BREXIT....https://twitter.com/RCorbettMEP/status/1124438400344502273Â Â,,[],offensive_language
219,219,1557046330,Kelvin Sykes,@DLidington Time to ditch the treacherous bitch. https://youtu.be/RNbw4hIMXiYÂ ,,[],offensive_language
236,236,1557156579,Somerled Mackay - REGISTER TO VOTE - #FBPE,@DLidington how does this look to you? https://twitter.com/nomore_unicorns/status/1125343993989091329Â Â,,[],offensive_language
238,238,1557136699,ghost of oliver cromwell,@DLidington only a hard brexit can save the tories from extinction  now https://twitter.com/GoodwinMJ/status/1124968320577548288Â Â,,[],offensive_language
272,272,1557245786,Anonymous,Mrs May is only obeying her EU orders!pic.twitter.com/8aB5RKzEKA,,[],offensive_language
353,353,1558219607,3 Cross Hill,How can this be...So Frustrating! Everyone Please Help Anyway That You Can!,,[],offensive_language
406,406,1558476614,John Chilver,No @PhilipHammondUK Britain needs a Brexit that feels like Brexit and you have been one of the main obstacles.  You must go when the Prime Minister does @theresa_may @DLidington https://twitter.com/PhilipHammondUK/status/1130881446334357505Â Â,,[],offensive_language
464,464,1558623667,Anonymous,I'm sure she's got a BBQ planned in June.,,[],offensive_language
498,498,1558774272,VictorMildew,"I have only two questions: 1) Are you serious? 2) Are you,like her,a Christian?",,[],offensive_language
499,499,1558767379,Steve Lawrence,ItÂs typical of @theresa_may that she canÂt even get resigning from @10DowningStreet right. She should have let de facto Deputy PM @DLidington take over & handle Trump & the leadership election. Who is advising her?,,[],offensive_language
532,532,1558778473,john shaw,"Really!
Are you on hard drugs?",,[],offensive_language
533,533,1558768805,Andys Blinds & Carpets,I love to give here a job get her to phone me please I think she works hard,,[],offensive_language
546,546,1558947365,Tom Clarke,"If you include every Tory voter as a ÂhardÂ Brexiteer that still only adds up to 44%. Of course some in that category are more moderate or even remainers. 

ItÂs hard to imagine Labour have enough leavers in their tally to get Leave above 50% #RemainSurge #EUelections19",,"['RemainSurge', 'EUelections19']",offensive_language
551,551,1558950763,as,"@PhilipHammondUK @AmberRuddHR @DavidGauke @GregClarkMP @DLidington @Jeremy_Hunt @JamesCleverly When your lies, blackmail & scare stories do not work what have you left to convince the public to vote for you, NOTHING. I voted Tory for 40 years, I will not vote for a shit show.https://twitter.com/bbclaurak/status/1132945192053612544Â Â",,[],offensive_language
589,589,1559114929,Mungo,"No, Mr Lidington, ALL OF YOUR CONSTITUENTS want this damned expensive white elephant cancelled.  Do you not understand the snow job that their PR people have done on you ? Do you not care ?  If not then should you still be our MP ??",,[],offensive_language
630,630,1559334310,Anonymous,Whereas I wouldn't trust Raab even as far as I could throw him.The man who didn't realise that an island nation relies on its ports? https://twitter.com/BBCPolitics/status/1060569339265515520Â Â,,[],offensive_language
633,633,1559503968,Remain Aylesbury #FinalSay #FBPE #4thRateCitizen,What thoughts does this inspire??  @DLidington pic.twitter.com/vpohG95jcU,,[],offensive_language
634,634,1559497841,Max1 #Fightback,Peter about two Months ago you were on @bbc5live and you were lifting @DLidington balls now you are all over the place..make your mind up.,,[],offensive_language
649,649,1559548294,John,"Voted Tory all my life, not any more with these fools as a choice. Vote @brexitparty_uk",,[],offensive_language
651,651,1559588831,bromhome,"You plum. EU GDP is around $20tn. So in 3 years, that's $60tn. Their three years' QE of $2.5tn is therefore 4%, not 50%.

You really are shit at maths aren't you?",,[],offensive_language
