,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
3,3,1556693888,Lorelei,I'm not sure if I can trust you.pic.twitter.com/UkwP5Z5E2b,,[],offensive_language
6,6,1556694892,David Buik,"I am so sorry but with no by-elections, hell has a better chance of freezing over of me voting TIG",,[],offensive_language
30,34,1556696860,Anonymous,"You won't even vote no confidence in May. Basically, vote Change and you get the Tories. Prop them up and we get more of the same, risking a hard Brexit. It's not just about your policy. Its about whether you'll stick to your principles & what methods you're willing to use.",,[],offensive_language
52,56,1556686608,Anonymous,Those voices in her head are telling her to ÂkillÂ democracy,,[],offensive_language
70,76,1556794925,Cait ÂGirly SwotÂ Graves,ÂEat our shit sandwich not theirs. Ours has mayo.Â,,[],offensive_language
75,81,1556788744,Nick Reeves - REGISTER TO VOTE - #ABTV #FBPE,"A question for @jon_bartley @vincecable @heidiallen75. How are Remainers to support Remain parties? If I retweet a Green, then in effect, I'm campaigning against the LibDems and Change UK and so on. This disunity is a total fucking shitfest. 
#PeoplesVote #Brexit #FBPE",,"['PeoplesVote', 'Brexit', 'FBPE']",offensive_language
78,84,1556786045,Anonymous,"They have, they formed @TheIndGroup.
When is Farage getting rid of her??",,[],offensive_language
82,88,1556805264,Chris Rand,"To be fair (and it would be nice to see an acknowledgement from whoever does these @TheIndGroup tweets), @HeidiAllen75 herself has pointed out that she actually said to support parties backing a People's Vote *IN ADDITION TO* independent ""hard-working community advocates"". pic.twitter.com/8eTfacMoFd",,[],offensive_language
108,116,1556914185,MIKE DAWSON,"Rubbish, absolute rubbish, people are angry that the main parties havent delivered Brexit, if you had knocked on some real doors you would have got real opinions, you really do live in a deluded bubble.",,[],offensive_language
159,167,1556967373,Paul Embery,I'll wager you Â£100 that you all lose your seats at the next general election.,,[],offensive_language
220,229,1557056280,Peter Hearn,"Nobody's listening to you until you have a ""confirmatory"" by-election.

What's stopping you?",,[],offensive_language
223,232,1557054733,Simon P. Wagstaff BEM QC (Quality Controller),"You are in denial if you believe that. The people don't support Lab/Con because they have deliberately kept us from leaving the EU. We don't support you, or a second referendum. You and your bunch of irrelevant mates can all sod off back to obscurity any time, you won't be missed",,[],offensive_language
224,233,1557053766,Anonymous,"If only our politicians had listened to her. In her time only 14 countries in the EU all with different languages & cultures, now 28! Brussels became greedy and we slept walked into an undemocratic political experiment which will eventually unravel. 
@heidiallen75
@ChukaUmunnahttps://twitter.com/ActionBrexit/status/1124671015433510913Â 
",,[],offensive_language
231,241,1557044606,James,"Why donÂt you let your constituents have a by-election, @heidiallen75, and see if youÂre right? https://twitter.com/heidiallen75/status/1124219120369721344Â 
",,[],offensive_language
243,257,1557049621,Anonymous,Oh my goodness. So unbearably cringey. Does @heidiallen75 think she's running a school sports day?,,[],offensive_language
262,277,1557156753,Heidi Allen,Congratulations from everyone at @TheIndGroup ! So pleased for you!https://twitter.com/SkyNews/status/1125396057398157317Â ,,[],offensive_language
322,345,1557271990,James Deegan MC,you have no chance pic.twitter.com/r0ON00PFFL,,[],offensive_language
363,388,1557208404,"McGintyÂs Gran., Esq QC","@heidiallen75 just because Chuka said it, doesnÂt mean that you & Anna can follow suit on his lie. There is video evidence of you all supporting your partyÂs GE17 stance of respecting the result. YouÂre all LIARS! 
@brexitparty_uk will be all over these lies. #EUElections2019https://twitter.com/TrishBrocks/status/1125511368113836033Â 
",,['EUElections2019https://twitter.com/TrishBrocks/status/1125511368113836033'],offensive_language
375,402,1557350819,Jordanne Wozencroft,A huge thank you to @emmavogelmann for all your hard work with the report and working groups. As well as @heidiallen75 for supporting the cause. pic.twitter.com/ubDn9OYqlv,,[],offensive_language
380,407,1557337269,Anonymous,They all ready told you @heidiallen75! https://twitter.com/heidiallen75/status/1126133057700888576Â ,,[],offensive_language
387,416,1557323053,Eddy39,The irony of this. When you sit in a ÂpartyÂ with @Anna_Soubry and @heidiallen75 do some research Gavin before you look fucking stupid #labourhttps://twitter.com/gavinesler/status/1125864730432765952Â ,,['labourhttps://twitter.com/gavinesler/status/1125864730432765952'],offensive_language
411,441,1557521829,Tom Rayner,"Change UK leader @heidiallen75 tells me she ""explicitly asked"" @haveigotnews producers about whether her appearance would be compatible with election broadcast rules a few days ago.  Says she was told ""all was fine""  #hignfy",,['hignfy'],offensive_language
419,450,1557519457,HuntedTeamNick #StopBrexitByXmas! Brexit is a Coup,"Farage on @bbcquestiontime last night, and back on #Marr on Sunday, - but @heidiallen75 apparently not allowed on AT ALL ? ? ?

WTAF  @BBC ?  This is Fucking Outrageous !",,['Marr'],offensive_language
424,456,1557531637,Janice Barnes.,This......pic.twitter.com/I5n7yKPrsh,,[],offensive_language
437,469,1557524234,Anonymous,IN MY OPINIONpic.twitter.com/Uzk9pwtxO1,,[],offensive_language
440,473,1557525627,Anonymous,"Shocking.  The lid needs to be blown off this one, & this shitty @BBC behaviour exposed.",,[],offensive_language
449,482,1557873822,Adrian Hilton,Q: Would @heidiallen75 debate a leader of a brand new party who happened to have 433 Twitter followers? How would she respond if that person accused her of 'breathtaking arrogance' for refusing to debate with her? How does she view a political Twitter following at 0.577% of hers?,,[],offensive_language
450,483,1557868092,The Core,"Dear @heidiallen75 @ChrisLeslieMP @chukaumunna, @sarahwollaston @MikeGapes ,

I hereby challenge you ALL to a by-election! 

If you don't name the date by midnight then the whole country will know who the real chickens are.

RSVP ASAP

Core.",,[],offensive_language
462,495,1557867018,Kingsley Donaldson,Breathtaking arrogance......... well at least you know something about that.......pic.twitter.com/6WrEyr3ZaL,,[],offensive_language
468,501,1557865839,william,Farage wonÂt talk to me.pic.twitter.com/582nSjXNxz,,[],offensive_language
472,505,1557866260,James,"Funny you should mention ÂcowardsÂ @heidiallen75, when is that by-election?",,[],offensive_language
479,512,1557872007,Anonymous,"Who is @heidiallen75 
She is the woman who lied to be voted in.
ThatÂs all you need to know, go on YouTube search for Heidi Allen 2016 and you will see plenty of videos there.

She is a serial voter fraudster, you have no morality to debate Nigel. https://twitter.com/heidiallen75/status/1128023446129119233Â 
",,[],offensive_language
498,533,1557946063,Anonymous,Cc. @heidiallen75 #Chuk you lied to your constituents. Why don't you call a by-election Heidi?https://twitter.com/James7Holland/status/1128330792520826880Â ,,['Chuk'],offensive_language
505,541,1557932321,Anonymous,"Well well @heidiallen75 & @Anna_Soubry. ItÂs all the talk on news channels that your little misguided project @ForChange_Now will be finished very soon. Lost deposits as well. Tories donÂt want you back, Voters despise you, what ya gonna do? Perhaps Love Island or Strictly?? https://twitter.com/MannersJack/status/1128464575505010688Â 
",,[],offensive_language
521,561,1558040236,El Gato Fan Club,You know what... I can't be fucked to make a real comment. Just... you know... Heidi Allen... so what? I'd rather listen to Oasis... and they are proper shite.,,[],offensive_language
531,571,1558015896,Greer Grant QC,"You compain nobody wants debates then come out with bollocks like this @heidiallen75 @ChukaUmunna?

So. Much. Cringe ",,[],offensive_language
537,577,1558010845,Dinah Glover,Breathtaking arrogance from @heidiallen75 that she changes Party with no by-election. No PeopleÂs Vote in her constituency. Just MPÂs choice #Hypocrisyhttps://twitter.com/heidiallen75/status/1128265320400138240Â ,,['Hypocrisyhttps://twitter.com/heidiallen75/status/1128265320400138240'],offensive_language
540,581,1557997203,Anonymous,@heidiallen75 was asked if she would have a by election.. she said no. What a coward. pic.twitter.com/o9puphFR6O,,[],offensive_language
557,598,1557966340,Anonymous,@heidiallen75 ........and you wonder why nobody takes you seriously.,,[],offensive_language
570,613,1558128713,Wayne Jones,Damn! I was hoping @heidiallen75 would be on so it could get cancelled at the last minute! #VoteBrexitParty,,['VoteBrexitParty'],offensive_language
574,617,1558125277,Tom Levitt,TheyÂve missed the white stripes off the @ForChange_Now logo...,,[],offensive_language
621,669,1558183679,Every Life Matters N.I.,"But there is no doubt, she & her fellow Westminster overlords  @stellacreasy @heidiallen75 (to name just two) WILL continue to use the women of Northern Ireland to political point score, under their guise of they really care about vulnerable women who.. pic.twitter.com/42rkugqh4r",,[],offensive_language
623,671,1558182638,Anonymous,Sinking ship. Poor @heidiallen75 all her lies have caught up with her. pic.twitter.com/SJmFCSSRHO,,[],offensive_language
646,695,1558138851,Morgan,So what do you think about your MP defecting? Personally she should either face a by-election or Vote of no confidence.,,[],offensive_language
654,704,1558293016,Anonymous,Well done HÃ©lÃ¨ne! ThatÂs a hell of a lot of leaflets! Hope it helps to get the vote out on Thursday. #VoteRemain,,['VoteRemain'],offensive_language
656,706,1558282759,Brexit Party Yorkshire,Only thing @Anna_Soubry changes is her mind #Liar @ForChange_Now @ChukaUmunna @ChrisLeslieMP @heidiallen75 YOU CANNOT TRUST THESE PEOPLE. pic.twitter.com/BOzt4lbqFt,,['Liar'],offensive_language
693,744,1558386557,Heidi Allen,"Quite right - public service means rising above this kind of stuff. ItÂs awful, itÂs unfair, it hurts like hell..... but you take it anyway. Big love xxxhttps://twitter.com/mdev1234/status/1130571737823891459Â 
",,[],offensive_language
704,759,1558392593,Michelle de Vries,Hurts like hell but on reflection It makes me want to do this more. We canÂt let far right and far left make us quit- then we really are in trouble.,,[],offensive_language
708,763,1558388184,Simon Allison,"Michael Heseltine, @stephen_dorrell, @heidiallen75, @carmichaelneil, @NickBoles, @Anna_Soubry, Bill Newton Dunn, @emcmillanscott, @sarahwollaston.  You could make a Cabinet out of the talents the Tory Party has lost!  And it would be a damn site better than the one we have now.",,[],offensive_language
721,777,1558354556,Ginger Kat,"Got to love @Anna_Soubry face. 

Anna, even @heidiallen75 has given up on you. https://twitter.com/BBCPolitics/status/1130443186583683072Â 
",,[],offensive_language
723,779,1558353969,RuleBrexitannia,A liar who was elected on a #leave manifesto and broke her promises. Who do you think you are to carry out such treacherous acts. Breathtaking arrogance. #Brexitpic.twitter.com/Q5IcPL2BzT,,"['leave', 'Brexitpic.twitter.com/Q5IcPL2BzT']",offensive_language
726,782,1558350565,BBC Radio 4 Today,"Interim leader of @ForChange_Now, @heidiallen75 hints at a possible coalition with the Lib Dems.

""I want us to get bigger... I see a modern world of coalition... the whole way Parliament operates needs a damn good shake up"" #r4today https://bbc.in/2VPXD8WÂ pic.twitter.com/KRfQGypsSZ",,['r4today'],offensive_language
729,785,1558338308,Adel Darwish,Amazingly on @BBCr4today it slipped RobinsonÂs mind to ask @heidiallen75 why doesnÂt she fight a by-election in her constituency if she was genuine about changing politics for the better? Her constituents voted for on different manifesto from the one she is promoting now?,,[],offensive_language
746,803,1558313391,Ian Doughty,"You may be fans of @naomiaklein but ""No Logo"" is not such a good idea for you guys @ForChange_Now ..so here's one to get the ball rolling. What d'ya think? @heidiallen75 @anna_soubry @chukaumunna @sarahwollaston @ChrisLeslieMPpic.twitter.com/FQvqRhYnD2",,[],offensive_language
762,824,1558452575,Change UK - Milton Keynes,"If we can't have a #PeoplesVote the Parliament should #revokearticle50 to stop a no deal Brexit, says @heidiallen75 . Vote #ChangeUKhttps://twitter.com/ForChange_Now/status/1130524996739244032Â 
",,"['PeoplesVote', 'revokearticle50', 'ChangeUKhttps://twitter.com/ForChange_Now/status/1130524996739244032']",offensive_language
