,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
9,9,1567372798,Brian Jacobs,What about you @JustineGreening? From a constituent who hopes you'll stick to your principles too.. https://twitter.com/RoryStewartUK/status/1168266343793221632Â Â,,[],offensive_language
52,52,1567518413,Kate Carter,"Thank you to my local MP @JustineGreening for putting people over career. I'm not, and will never be, a Tory voter but she's represented her consitutency well and fairly and it's a great shame the venal bunch of utter b****ds now in charge are forcing people like her out.",,[],offensive_language
59,59,1567530101,Anonymous,"Thick as a plank too. I wrote to her once, she replied as If my concerns were the opposite to that which IÂd written about. 
",,[],offensive_language
61,61,1567525926,Lord (Tariq)Ahmad of Wimbledon,Extremely sad to see my good friend & colleague @JustineGreening announce sheÂs stepping down as the MP for Putney - exemplary in serving her constituents and dedicated & passionate in discharging her duties in Government- a champion for social mobility - wishing her well,,[],offensive_language
84,84,1567584494,Anonymous,Huge thanks. Definitely. It is clear now that we have a real cross-party commitment to stop No Deal and ultimately Stop Brexit. @RoryStewartUK @PhilipHammondUK @NSoames @JustineGreening and all of you Tories who put your careers on the line. History will remember you favourably . https://twitter.com/LitCritBrit/status/1169011194906251266Â Â,,[],offensive_language
91,91,1567703450,GLS,"@JustineGreening
@hammersmithandy 
Please ensure that we get an independent review and suspension. 

Thank you for all the hard work.
Rockstars",,[],offensive_language
109,109,1567709749,love_ninja,Everything is suspended  as it should be. Thank you to the efforts of all @JustineGreening https://twitter.com/loanchargeAPPG/status/1169628994830053377Â Â,,[],offensive_language
132,132,1567788358,Balance of Power,"Earlier this week, Independent Putney MP @JustineGreening announced she will not be standing at the next Parliamentary General Election.

She first stood for Parliament in 2001 and was elected in 2005, take a look at her electoral history. pic.twitter.com/42kHiPyuiV",,[],offensive_language
148,148,1567796702,uzi_uzi,Lol - by which time our Sun will become a White Dwarf Star (and therefore we will not exist anymore) ,,[],offensive_language
205,205,1567848853,Anonymous,"You're deluded, everything those people have done is out of pure self-interest.

They don't give a damn about the people that voted them in, they are just like you, looking out for number one, that being themselves.",,[],offensive_language
210,210,1567939626,Sophy Ridge,. @JustineGreening tells me she found out the Whip was withdrawn from a voice mail and nobody has called her back since #Ridgepic.twitter.com/DBYzZkEChE,,['Ridgepic.twitter.com/DBYzZkEChE'],offensive_language
232,232,1567941715,Jeff Jones,"No one cares, anyway it other real news the French help us out !pic.twitter.com/qW4IFdVC94",,[],offensive_language
239,239,1567932558,Teresa Pople,Do  these numpties not understand that negotiation involves making the people you are negotiating with believe what you say?,,[],offensive_language
243,243,1567929572,LadyAnniSpice the Boomer #BackBoris&letsLeave#,Just listening to . @JustineGreening on . @SkyNews ... She is no tory .... Why do these wimps not think outside the Westminster bubble? Totally out of touch with the 17.4 million - never allow her back #PeoplePrimeMinister   >>>> . @BorisJohnson,,['PeoplePrimeMinister'],offensive_language
248,248,1568058690,DeputyMitchell,I know youÂll be a little busy @JustineGreening but this could be a welcomed distraction... Jamana would LOVE a comment on her writing! Can you help? https://twitter.com/amannksandhu/status/1171136493525590016Â Â,,[],offensive_language
249,249,1568053129,HMRC Victim #STOPtheLoanCharge #SaveLives! #IR35,"Hi Andrew - how do you know this? Did she say something publicly or did you talk to her directly?

There are actually five oral questions tabled on the Loan Charge by other MP's, so I guess Justine's question would be a supplementary one.",,[],offensive_language
266,266,1568056894,Anonymous,Thank you to my MP @JustineGreening https://twitter.com/breeallegretti/status/1171133527901036544Â Â,,[],offensive_language
279,279,1568026492,Anonymous,"LOL 

So no real answer then",,[],offensive_language
282,282,1568018287,KMS,"You knew he wanted to talk to you, he can't know when you will be available next, he told you what the call was about, why didn't you call him. Victim victim fucking victim",,[],offensive_language
285,285,1568141306,Diana Johnson,But sadly @trussliz not such a good friend of women as she has abstained on key votes on womenÂs reproductive rights unlike @AmberRuddHR @PennyMordaunt @JustineGreening https://twitter.com/IsabelHardman/status/1171492909876535299Â Â,,[],offensive_language
287,287,1568130739,Harini Iyengar,"I enjoyed meeting @DavidLammy & hearing how being an MP hasnÂt compromised his involvement as a father, & @JustineGreening wearing her @5050Parliament pin & looking to the future, & listening to @vincecable in conversation with Lord Woolley sharing his political wisdom.pic.twitter.com/wgYARl267i",,[],offensive_language
313,313,1568240708,Prue Heron,Right is might. You restore my faith in integrity. Thank you,,[],offensive_language
352,352,1568285121,Andrew Mac,ÂWhy donÂt use you use the bike lane?Â @MarshadeCordova @WandsLS @JustineGreening pic.twitter.com/cDGg04xSNr,,[],offensive_language
356,356,1568275775,RichardCarr,@mariacaulfield voted for no deal. How can she be deemed to support the GFA if she does that. That is a flat vote for a hard border which is highlighted in Yellowhammer?,,[],offensive_language
389,389,1568484049,george lloyd,"Hurray, you've lost it, I won. You Know nothing of negotiations and try to be all grown up, I suspect your just a kid. So I repeat, grow up.",,[],offensive_language
394,394,1568465461,Alan Hill,"Yeah, you told me to grow up but then got all pissy whe I called you a manbaby. You have proven my point.
Here's another point, you Brexiteers have gone fucked up your Brexit and it's noone's fault but yours. It's not the EU's, it's not the Irish, it's not Remainers, it's you. ",,[],offensive_language
413,413,1568583195,Jessie Fenn,Another case. What happened to the bloke wanking in the NSPCC toilets and video himself? Why are pipelette turning a blind eye to this shit because ÂtransÂ? There are sexually predatory men out there being protected #sexnotgender,,['sexnotgender'],offensive_language
418,418,1568653566,The 80s Girl,My @TheLabraDiva and her friends the #DogsOfWimbledonCommon will all be running around,,['DogsOfWimbledonCommon'],offensive_language
470,470,1569166379,Eric D,"Please. Quietly consider. UK 2019: When standing up to prevent the destruction of your Country, the harm it will do to so many and fighting those out to make personal gain at the expense of the people defines you as a ÂRebelÂ. What the hell have we become? Just end it. #RevokeA50pic.twitter.com/L9qB7Py1ng",,['RevokeA50pic.twitter.com/L9qB7Py1ng'],offensive_language
508,508,1569433212,Arthur,And we really cannot say THANK YOU enough times to ALL of @loanchargeAPPG pic.twitter.com/wGLhzhkR5e,,[],offensive_language
522,522,1569525447,Anonymous,"In a class of their own:

@DeborahMeaden - I wish more businesswomen would have the courage to speak out as she does; I love the way she engages with people on Twitter

#BettyBoothroyd

Perfect excuse to re-post the rousing speech she gave about #Brexit in the Lords: pic.twitter.com/Mrl5lD3lIy",,"['BettyBoothroyd', 'Brexit']",offensive_language
565,565,1569592844,Anonymous,It's a shame that women like @YvetteCooperMP @joswinson @lucianaberger @Anna_Soubry @Sandbach @LaylaMoran @margot_james_mp @JustineGreening @CarolineLucas @carolinenokes @AnneMilton @AmberRuddHR @theresa_may @MaryCreaghMP and @RoryStewartUK aren't remarkable women at all!.https://twitter.com/RupertLowe10/status/1177311508834988033Â Â,,[],offensive_language
574,574,1569592392,Ludo,"Yes, her name's Paula Sherriff and she's like a rabid dog. Disgraceful behaviour.",,[],offensive_language
580,580,1569548515,Anonymous,My MP @JustineGreening. Stood firm in her belief.,,[],offensive_language
588,588,1569681499,Anonymous,@paulasherriff  using her bully boy tactics she was the one that brung up Jo Cox,,[],offensive_language
600,600,1569661192,Andrew Mac,@wandsworth @JustineGreening @GregHands who do you represent?https://twitter.com/V0LDN/status/1177517484867379200Â Â,,[],offensive_language
616,616,1569794091,MORE THAN A MILLION,"his plan is NO DEAL

all Opposition leaders must back Corbyn NOW

get that Swinson onside please, or get her colleagues to DEFY her",,[],offensive_language
628,628,1569795854,Blewyn,"No, you donÂt. Because if you know it, so does the opposition.",,[],offensive_language
637,637,1569794357,DJ Trigger,"Why the hell would he tell you his plan when you will do whatever you can to thrawt It? You will find out at the very last minute because people like you can not be trusted to the right and proper thing.

#BackBoris
#ThePepeParty",,"['BackBoris', 'ThePepeParty']",offensive_language
640,640,1569766021,Brexit means....well actually no one knows,Her handlers want to bring @BorisJohnson to the edge. Make sure he doesnÂt back down on his ÂpromisesÂ,,[],offensive_language
642,642,1569746982,Anonymous,After reading your thread it appears that she could have been a honey trap but why has she been so 'pubic'? It is almost as if she has been hiding in pubic sight.,,[],offensive_language
723,723,1570027101,Peter Francis,Call by-election. Soubry should not be paidas an MP as she has left the party for which she was elected! @BBCPolitics @Anna_Soubry @JustineGreening @itvnews @BBCNews @SkyNews @conservatives @BBCParliament @TelePolitics @Telegraph @DailyMailUK @thetimeshttps://twitter.com/LightTheWay16/status/1178562104401567744Â Â,,[],offensive_language
729,729,1570014786,Timeforchange,"Might I be so bold as to educate you @Jesse_Norman in this matter, but I'm sure you're fully aware of your blatant obfuscation! @loanchargeAPPG @LCAG_2019 @BorisJohnson @sajidjavid @LordsEconCom @RossThomson_MP @JustineGreening @AmberRuddHR @DominicRaab @DavidDavisMP @MPIainDSpic.twitter.com/hRtwEdLlVC",,[],offensive_language
732,732,1570010674,Matthew Lavender,"Come along on Saturday to watch @SophyRidgeSky and I try to work out what the hell is going on in politics.

We'll be joined by former Education Secretary @JustineGreening.

#Ridgehttps://twitter.com/RidgeOnSunday/status/1179334858050588672Â Â",,['Ridgehttps://twitter.com/RidgeOnSunday/status/1179334858050588672'],offensive_language
749,749,1570010826,Martin Waterhouse,Can you ask her who she represents in #Parliament ?,,['Parliament'],offensive_language
754,754,1569996329,Steven Parsloe,That woman @JustineGreening is so angry and bitter it shows on her face.,,[],offensive_language
762,762,1570103606,JustG,Catch @JustineGreening with her resting *smacked arse * face ...,,[],offensive_language
