,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
13,13,1556734001,Andy Wigmore,About to get hit hard with a very expensive legal case @tom_watson as are you #lawyerup @guardianhope they can afford it https://twitter.com/tom_watson/status/1123509316693131264Â Â,,['lawyerup'],offensive_language
19,19,1556751506,Anonymous,"...in so many countries. But why didn't Clegg stop the Tories doing x, y, z? He was deputy PM! Oh really? If you want to know how hard it is to drive your policies through as a deputy leader, ask Tom Watson. Most importantly, let's stop demanding...",,[],offensive_language
54,54,1556832393,neil flek waugh .#Palestine.#No lists please.,"What a 2 faced bastard you are Jon, you are the most self centred person in the Labour party. You have not a socialist bone in your body, and you and your buddy Tom Watson are hell bent on destroying Corbyn. You will of course fail in this endeavour. https://twitter.com/jonlansman/status/1123892942639443969Â Â",,[],offensive_language
98,98,1556963572,helen#votelabour,"Which three MPs in #labour would you happily #deselect
My three would be
#jessphillips
#margarethodge
#Tomwatson
Bunch of cockwombles

#gtto
#JC4PM
#socialistanydayhttps://twitter.com/rbrigue/status/1124606901612961792Â Â",,"['labour', 'deselect', 'jessphillips', 'margarethodge', 'Tomwatson', 'gtto', 'JC4PM', 'socialistanydayhttps://twitter.com/rbrigue/status/1124606901612961792']",offensive_language
99,99,1556928869,Anonymous,"my local Labour Party on the BBC news website, blaming @tom_watson for the poor turnout for Labour in Milton Keynes 

see it's shit like this, this is why i've left. fuck my CLP. with a few notable exceptions, they're a bunch of useless Corbynista cultists. #NotMyLabourParty pic.twitter.com/f6u56maMp2",,['NotMyLabourParty'],offensive_language
111,111,1556991544,Anonymous,Our fortunes may not increase but weÂd all be a hell of a lot happier without you. And take @tom_watson with you while youÂre there.,,[],offensive_language
123,123,1556989822,Bob,"God has told her to continue push on with brexit at all costs.

Trump has also been spouting that God is on his side.

Tried to explain to my wife what 'The Handmaid's Tale' was about.

No need now......we are going down that road.",,[],offensive_language
156,156,1557178066,Anonymous,"Satan & I are assembling a political party, dubbed Team Evil. It's to be composed solely of cunts. So far we've signed up Wes Streeting, Jess Phillips, Margaret Hodge, Tom Watson, Esther McVey, & Rory Stewart. More to come . . .",,[],offensive_language
168,168,1557150431,kelvin senjobe,About damn time.,,[],offensive_language
182,182,1557247057,Tracy-Ann Oberman,This is you:pic.twitter.com/Z6xUSOz8zF,,[],offensive_language
186,186,1557250398,Susan Ann Day,It was my MP who approved this atrocity. He'll never get my vote.,,[],offensive_language
240,240,1557499275,Tom Watson,This man is one of my Twitter secret heroes. Been keeping an eye on him since his failed attempt to learn the trumpet.https://twitter.com/Psythor/status/1126857401515290625Â Â,,[],offensive_language
243,243,1557513196,Anonymous,"ThereÂs a problem when Tom Watson is not the dumbest person in his own thread. 

Holy fucking shit this guy is dumb. pic.twitter.com/aTMqh6briL",,[],offensive_language
257,257,1557618305,Anonymous,"Are you really saying this? Hey @AOC get a load of this! 

Do you understand AOC got involved because of Bernie? She was a volunteer for him during his 2016 campaign. She has openly stated that Bernie influenced her to get involved. 

Stop the BS. Seriously.",,[],offensive_language
259,259,1557608421,Star Stuff,Alexandria has a mind of her own and it is gross that you take away her autonomy like this.,,[],offensive_language
267,267,1557596363,Mike,She started out working on @BernieSanders 2016 campaign and he helped her get elected. ItÂs nuts that you would think sheÂd endorse anyone else.,,[],offensive_language
