,date,name,tweet,classofspeech
0,2019-07-30,Stephen Twigg,Thanks to everyone who contributed evidence to @CommonsIDC inquiry on disability-inclusive development https://twitter.com/CommonsIDC/status/1155976546382798851Â â¦,neither
1,2019-07-28,Stephen Twigg,Thanks for the Tweet. Email me with details and I will take up with the City Council - stephen.twigg.mp@parliament.uk,neither
2,2019-07-27,Stephen Twigg,Fantastic atmosphere at @LCRPride today including a great Labour turnout @WestDerbyCLP @LGBTLabour #PrideinLiverpool pic.twitter.com/crNmFuR265,neither
3,2019-07-26,Stephen Twigg,Looking forward to @PrideInLpool march tomorrow - Pride is both a celebration of diversity and a protest against homophobia & transphobia #Pride2019 https://twitter.com/PrideInLpool/status/1154754206009647104Â â¦,neither
4,2019-07-26,Stephen Twigg,Very informative visit today to the @MerseyPolice contact centre in Bootle - impressed to meet hardworking and dedicated professionals responding to and engaging with people getting in touch via both telephone and social media.,neither
5,2019-07-24,Stephen Twigg,Joining colleagues in the House of Commons chamber shortly to present a petition calling for an immediate ceasefire in #Yemen,neither
6,2019-07-19,Stephen Twigg,Thanks for getting in touch Ibrar,neither
7,2019-07-19,Stephen Twigg,"Itâs time @Amazon improved the conditions in their warehouses. Nobody should go to work in fear of leaving in an ambulance.

Sign the @GMB_Union petition calling on Amazon to treat its workers like humans - not robots.
 #AmazonWeAreNotRobots #PrimeDay
 https://www.gmb.org.uk/campaign/amazon-workers-are-not-robotsÂ â¦",neither
8,2019-07-19,Stephen Twigg,"Back from a busy few days with @CommonsIDC members @Pauline_Latham @ChrisLawSNP & @lloyd_rm at the @UN to discuss the #SDGs - huge thanks to @KarenPierceUN & her fantastic UK Mission team, to civil society organisations & UN agencies for a very informative visit #LeaveNoOneBehind https://twitter.com/KitDorey/status/1151513576307343360Â â¦",neither
9,2019-07-19,Stephen Twigg,Vital that @DFID_UK and @FCO listen and act in response to this powerful statement from @UNReliefChief #Yemen https://twitter.com/UNReliefChief/status/1151873959127900161Â â¦,neither
10,2019-07-14,Stephen Twigg,Thanks @harrydoyle96 @AminaAtiqpoetry and Sheila Murphy for your generous words and @chamiltonbbc for the piece. https://twitter.com/harrydoyle96/status/1150351314720874496Â â¦,neither
