,date,name,tweet,stance
0,07,Stephen Twigg,Thanks to everyone who contributed evidence to @CommonsIDC inquiry on disability-inclusive development https://twitter.com/CommonsIDC/status/1155976546382798851 …,leave
1,07,Stephen Twigg,Thanks for the Tweet. Email me with details and I will take up with the City Council - stephen.twigg.mp@parliament.uk,no sentiment
2,07,Stephen Twigg,Fantastic atmosphere at @LCRPride today including a great Labour turnout @WestDerbyCLP @LGBTLabour #PrideinLiverpool pic.twitter.com/crNmFuR265,no sentiment
3,07,Stephen Twigg,Looking forward to @PrideInLpool march tomorrow - Pride is both a celebration of diversity and a protest against homophobia & transphobia #Pride2019 https://twitter.com/PrideInLpool/status/1154754206009647104 …,irrelevant
4,07,Stephen Twigg,Very informative visit today to the @MerseyPolice contact centre in Bootle - impressed to meet hardworking and dedicated professionals responding to and engaging with people getting in touch via both telephone and social media.,no sentiment
5,07,Stephen Twigg,Joining colleagues in the House of Commons chamber shortly to present a petition calling for an immediate ceasefire in #Yemen,no sentiment
6,07,Stephen Twigg,Thanks for getting in touch Ibrar,irrelevant
7,07,Stephen Twigg,"It’s time @Amazon improved the conditions in their warehouses. Nobody should go to work in fear of leaving in an ambulance.

Sign the @GMB_Union petition calling on Amazon to treat its workers like humans - not robots.
 #AmazonWeAreNotRobots #PrimeDay
 https://www.gmb.org.uk/campaign/amazon-workers-are-not-robots …",leave
8,07,Stephen Twigg,"Back from a busy few days with @CommonsIDC members @Pauline_Latham @ChrisLawSNP & @lloyd_rm at the @UN to discuss the #SDGs - huge thanks to @KarenPierceUN & her fantastic UK Mission team, to civil society organisations & UN agencies for a very informative visit #LeaveNoOneBehind https://twitter.com/KitDorey/status/1151513576307343360 …",irrelevant
9,07,Stephen Twigg,Vital that @DFID_UK and @FCO listen and act in response to this powerful statement from @UNReliefChief #Yemen https://twitter.com/UNReliefChief/status/1151873959127900161 …,irrelevant
10,07,Stephen Twigg,Thanks @harrydoyle96 @AminaAtiqpoetry and Sheila Murphy for your generous words and @chamiltonbbc for the piece. https://twitter.com/harrydoyle96/status/1150351314720874496 …,irrelevant
11,07,Stephen Twigg,Excellent discussion with Year 8 students at @westderbyschool covering issues ranging from homelessness to bullying and from mental health to school rules - hugely impressive student presentations in both poetry and prose. https://twitter.com/westderbyschool/status/1149712340994199552 …,irrelevant
12,07,Stephen Twigg,Thank you for all the lovely responses to my Tweet https://twitter.com/StephenTwigg/status/1148234033702363136 …,stay
13,07,Stephen Twigg,Today I have written as set out below to members of @WestDerbyCLP explaining that I will not be seeking reselection ahead of the next General Election. pic.twitter.com/XrnGDC8YGy,irrelevant
14,07,Stephen Twigg,"You can read the full report, Forced displacement in Africa: “Anchors not walls”, here -  https://publications.parliament.uk/pa/cm201719/cmselect/cmintdev/1433/1433.pdf …",irrelevant
