,date,name,tweet,classofspeech
394,2019-05-09,Nicky Morgan,Too many women face horrific abuse online and in public life. Our law currently permits those who issue threats of violence to stand for election. This has to change. Stand up against hate. Support this @fawcettsociety petition now:  https://www.change.org/p/theresa-may-mp-lifetime-ban-from-standing-for-elected-office-for-those-who-threaten-rape-or-violenceÂ â¦ #NotFitToStand,neither
349,2019-05-19,Nicky Morgan,But so brave - 40 foot in the air!,neither
400,2019-05-05,Nicky Morgan,Great to see so many people at this yearâs Wymeswold Duck Races & lots of enthusiastic cheering for the ducks!  https://www.instagram.com/p/BxFSX3cnN0m/?utm_source=ig_twitter_share&igshid=ilsvtk5eeaxiÂ â¦,neither
353,2019-05-19,Nicky Morgan,*yawn*,neither
181,2019-07-22,Nicky Morgan,Last week @OneNationCons wrote to Boris Johnson & Jeremy Hunt about the challenges the new PM will face & our Values Declaration #OneNationConservatives pic.twitter.com/GvGyAiwyPU,neither
408,2019-05-02,Nicky Morgan,Donât let the showers put you off voting today #VoteConservative pic.twitter.com/aDkGvWJAbK,neither
296,2019-06-12,Nicky Morgan,"An excellent open letter to Conservative leadership candidates from @ToryReformGroup ""While many candidates have sought to claim the One Nation mantel, the finalists must commit to delivering a truly One Nation Government.""  - look forward to the replies  https://www.facebook.com/ToryReformGroup/posts/2799318753418490?utm_source=TrG%20Mailing%20List&utm_campaign=f335667aff-EMAIL_CAMPAIGN_2019_06_11_08_43_COPY_01&utm_medium=email&utm_term=0_a539257fb5-f335667aff-501458997&mc_cid=f335667aff&mc_eid=301cba3680Â â¦",neither
244,2019-06-22,Nicky Morgan,Thanks to Meg for inviting me to speak at the #womenteachingwomen event today hosted by @PerrygroveRail - great pleasure to do so as Chair of the APPG Heritage Rail pic.twitter.com/NUaWUm9kgC,neither
316,2019-06-04,Nicky Morgan,Eid Mubarak to all Loughborough constituents celebrating today pic.twitter.com/QvgRlcUkLa,offensive_language
195,2019-07-12,Nicky Morgan,"It has been another busy year for @CommonsTreasury - can't quite believe it is 2 years since my election, where did the time go?! pic.twitter.com/11va8dOxni",neither
291,2019-06-14,Nicky Morgan,Delighted that today @CommonsTreasury is launching our latest inquiry on the impact of regional imbalances on our economy  https://www.parliament.uk/business/committees/committees-a-z/commons-select/treasury-committee/news-parliament-2017/new-inquiry-launched-regional-imbalances-in-the-uk-economy/Â â¦ https://twitter.com/CommonsTreasury/status/1139447005347028992Â â¦,neither
70,2019-09-29,Nicky Morgan,The @LboroTories LSU Conservative Society stall is open for business at the 2019 Freshers Bazaar - do come & join! pic.twitter.com/rRkdWBN050,neither
79,2019-09-25,Nicky Morgan,"Wonderful to visit @knowlewestmedia arts centre in South Bristol. They are doing such important work - working with people from different backgrounds to help them develop the skills, confidence, character & resilience to unleash their creeative talent pic.twitter.com/oPsTzhuhMe",neither
55,2019-10-04,Nicky Morgan,In need of funding for a local community project? Look no further! The @TNLComFund has year-roundâ¯#NationalLotteryâ¯awards for groups and organisations of all sizes. Find out more about their funding opportunities: https://www.tnlcommunityfund.org.uk/fundingÂ ,neither
141,2019-08-22,Nicky Morgan,A very happy birthday to Loughborough based @Swim_England on their 150th birthday. Best of luck to all the staff taking part in the 150km swimathon today. Hope you raise lots of money for your worthy cause,neither
173,2019-07-26,Nicky Morgan,Great pleasure to join a brilliant group of @NCS graduates in Sileby today at the Leonard Cheshire home where theyâve been doing their social action project. Look forward to working with NCS as @DCMS SoS pic.twitter.com/8iOFsco6fc,neither
