,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech,month
42,42,3614,3614,brucehayes,Bruce Hayes,4300791,1183871248637583360,/brucehayes/status/1183871248637583360,2019-10-14 22:24:35,1571091875,I think so too. My immediate perception of Swalwell is that he is a good person and smart as hell. I think #Beto thinks highly of Swalwell and he has plans for him.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I think so too. My immediate perception of Swalwell is that he is a good person and smart as hell. I think <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Beto?src=hash""><s>#</s><b>Beto</b></a> thinks highly of Swalwell and he has plans for him.</p>",[],['Beto'],False,[],,1,0,1,True,True,1.1838108506054902e+18,"[{'screen_name': 'TyphoonGomez', 'user_id': '386877682'}, {'screen_name': 'D33D3374', 'user_id': '2516481462'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,10
58,58,3294,3294,DaveWimblePhoto,David Wimble,146172697,1147633394165178368,/DaveWimblePhoto/status/1147633394165178368,2019-07-06 22:28:17,1562452097,Haha you to. #neverturnthedarkside,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Haha you to. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/neverturnthedarkside?src=hash""><s>#</s><b>neverturnthedarkside</b></a></p>",[],['neverturnthedarkside'],False,[],,1,0,1,True,True,1.147631459458605e+18,"[{'screen_name': 'rockyhud', 'user_id': '130866078'}, {'screen_name': 'annaturley', 'user_id': '22398060'}, {'screen_name': 'tom_watson', 'user_id': '14190551'}]",offensive_language,7
65,65,6904,6904,Curmudgeon75,"Gerry Ellenson, MSW",877686062310719488,1157361797063561216,/Curmudgeon75/status/1157361797063561216,2019-08-02 18:45:29,1564771529,pic.twitter.com/Y91ndXVoKY,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Y91ndXVoKY"">pic.twitter.com/Y91ndXVoKY</a></p>",[],[],True,['https://pbs.twimg.com/media/EA_GaiTUIAE2z8z.jpg'],,1,0,0,False,True,1.1572477666173174e+18,"[{'screen_name': 'NormOrnstein', 'user_id': '2223157392'}]",offensive_language,8
76,76,3822,3822,RiotwomennnTemp,DSC,1151466589989957637,1183834843983044609,/RiotwomennnTemp/status/1183834843983044609,2019-10-14 19:59:56,1571083196,"Not strange at all.  White men, even those who aren't qualified, still go to the front of the line with lots of people

He used money from his rich white friends to saturate media 

Campaign marketing workshttps://www.vox.com/recode/2019/5/7/18527646/pete-buttigieg-silicon-valley-donors-mark-zuckerbergÃÂ Ã¢ÂÂ¦","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Not strange at all.  White men, even those who aren't qualified, still go to the front of the line with lots of people

He used money from his rich white friends to saturate media 

Campaign marketing works<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.vox.com/recode/2019/5/7/18527646/pete-buttigieg-silicon-valley-donors-mark-zuckerberg"" dir=""ltr"" href=""https://t.co/MS0Oth4oZB"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.vox.com/recode/2019/5/7/18527646/pete-buttigieg-silicon-valley-donors-mark-zuckerberg""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">vox.com/recode/2019/5/</span><span class=""invisible"">7/18527646/pete-buttigieg-silicon-valley-donors-mark-zuckerberg</span><span class=""tco-ellipsis""><span class=""invisible"">ÃÂ </span>Ã¢ÂÂ¦</span></a></p>",['https://www.vox.com/recode/2019/5/7/18527646/pete-buttigieg-silicon-valley-donors-mark-zuckerberg'],[],False,[],,15,4,2,True,True,1.183826807059075e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,10
95,95,2959,2959,S_J_K80,Samuel,1047341387602173953,1190314008030666755,/S_J_K80/status/1190314008030666755,2019-11-01 17:05:49,1572627949,"Yeah you got me dude, semantically. Takes aim at Sanders. Written three times. Its a primary and we know what u mean. And why do you keep dodging my question on M4a? do you support EWÃ¢ÂÂs plan or do you just think it wonÃ¢ÂÂt pass so itÃ¢ÂÂs worth the risk supporting her?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yeah you got me dude, semantically. Takes aim at Sanders. Written three times. Its a primary and we know what u mean. And why do you keep dodging my question on M4a? do you support EWÃ¢ÂÂs plan or do you just think it wonÃ¢ÂÂt pass so itÃ¢ÂÂs worth the risk supporting her?</p>",[],[],False,[],,1,0,0,False,True,1.1903011946164756e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,11
104,104,9131,9131,LenaLuthorD,Lena Luthor Ã°ÂÂÂÃ°ÂÂÂ,1167388026189701122,1180523313002475526,/LenaLuthorD/status/1180523313002475526,2019-10-05 16:41:05,1570293665,Okay wait lang fcking hell... totoo ba? Tom Felton and Emma Watson dating?! My heaaarttt!!!! My OTP ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Okay wait lang fcking hell... totoo ba? <strong>Tom</strong> Felton and Emma <strong>Watson</strong> dating?! My heaaarttt!!!! My OTP <img alt=""Ã°ÂÂÂ­"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""Ã°ÂÂÂ­"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""Ã°ÂÂÂ­"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""Ã°ÂÂÂ­"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/></p>",[],[],False,[],,0,0,2,True,False,,[],offensive_language,10
105,105,1256,1256,AdamCaplin,Adam Caplin,754856304,1193580573740163072,/AdamCaplin/status/1193580573740163072,2019-11-10 17:25:59,1573406759,Now I know what a great comedian you are. SheÃ¢ÂÂs a thick as mince foul mouthed me me me hypocrite who said she would resign if Tom Watson did. Did I miss something?? Oh but sheÃ¢ÂÂs so brave.. she goes out in the rain !!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Now I know what a great comedian you are. SheÃ¢ÂÂs a thick as mince foul mouthed me me me hypocrite who said she would resign if <strong>Tom</strong> <strong>Watson</strong> did. Did I miss something?? Oh but sheÃ¢ÂÂs so brave.. she goes out in the rain !!!!</p>",[],[],False,[],,2,0,0,False,True,1.1931915042165678e+18,"[{'screen_name': 'davidwalliams', 'user_id': '17441447'}, {'screen_name': 'jessphillips', 'user_id': '20000725'}]",offensive_language,11
117,117,5158,5158,ameseh,Amy Hartman,1046615358,1163940845860483072,/ameseh/status/1163940845860483072,2019-08-20 22:28:17,1566340097,"For me, the fact that she was a Republican who looked at empirical evidence, changed her mind, and devoted her entire life to helping with the problems she saw is a huge selling point. It shows she's well-intentioned and able to evolve from new information.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">For me, the fact that she was a Republican who looked at empirical evidence, changed her mind, and devoted her entire life to helping with the problems she saw is a huge selling point. It shows she's well-intentioned and able to evolve from new information.</p>",[],[],False,[],,1,0,1,True,True,1.163919986441773e+18,"[{'screen_name': 'Mateo_in_ATX', 'user_id': '937930411077963777'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,8
183,183,1381,1381,_HarleyEdwards,Harley Ã°ÂÂÂ¹,2347666471,1193542701901320192,/_HarleyEdwards/status/1193542701901320192,2019-11-10 14:55:29,1573397729,shit u rightpic.twitter.com/TjXMQfvL21,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">shit u right<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/TjXMQfvL21"">pic.twitter.com/TjXMQfvL21</a></p>",[],[],True,['https://pbs.twimg.com/media/EJBQwL2WkAAMT_t.jpg'],,5,0,0,False,True,1.1932488940099174e+18,"[{'screen_name': 'aScottyMr', 'user_id': '2970081645'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}, {'screen_name': 'TheStagmania', 'user_id': '491876943'}]",offensive_language,11
192,192,8567,8567,aimeemb24,aimee barfield,49114415,1186991156934119425,/aimeemb24/status/1186991156934119425,2019-10-23 13:01:59,1571835719,Gabbard is bat shit crazy but you do you Brandon.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Gabbard is bat shit crazy but you do you Brandon.</p>",[],[],False,[],,0,0,0,False,True,1.1868104052865352e+18,"[{'screen_name': 'Arnian', 'user_id': '40944849'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}, {'screen_name': 'EricBoehlert', 'user_id': '34643610'}]",offensive_language,10
203,203,491,491,gturner1969,Graeme Turner Ã°ÂÂÂ´Ã³Â ÂÂ§Ã³Â ÂÂ¢Ã³Â ÂÂ³Ã³Â ÂÂ£Ã³Â ÂÂ´Ã³Â ÂÂ¿,251086429,1160664874705444864,/gturner1969/status/1160664874705444864,2019-08-11 21:30:44,1565559044,pic.twitter.com/OdvZXAYoRI,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/OdvZXAYoRI"">pic.twitter.com/OdvZXAYoRI</a></p>",[],[],True,['https://pbs.twimg.com/media/EBuCi6iWkAIBg7n.jpg'],,14,12,0,False,True,1.1605970915106406e+18,"[{'screen_name': 'tom_watson', 'user_id': '14190551'}]",offensive_language,8
208,208,6015,6015,chingis27,Wittgenstein - Amazon FC Ambassador,3349256271,1137746306569527296,/chingis27/status/1137746306569527296,2019-06-09 15:40:32,1560094832,Hahaha. Nahh mate I don't think it's clever to give power to people who oppose you. If that makes me Stalin so be it lol,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hahaha. Nahh mate I don't think it's clever to give power to people who oppose you. If that makes me Stalin so be it lol</p>",[],[],False,[],,0,0,3,True,True,1.1376908058906664e+18,"[{'screen_name': 'Flub1957', 'user_id': '863299185482903552'}, {'screen_name': 'jessicaelgot', 'user_id': '16513349'}]",offensive_language,6
210,210,7938,7938,_MrBigCheeze,Richard,341748153,1195456006970626048,/_MrBigCheeze/status/1195456006970626048,2019-11-15 21:38:17,1573853897,Ã¢ÂÂHiS fOlLoWeRs aRe MiSoGyNiStIc YoUnG wHiTe MeN.Ã¢ÂÂpic.twitter.com/KwYERi5N07,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Ã¢ÂÂHiS fOlLoWeRs aRe MiSoGyNiStIc YoUnG wHiTe MeN.Ã¢ÂÂ<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/KwYERi5N07"">pic.twitter.com/KwYERi5N07</a></p>",[],[],True,['https://pbs.twimg.com/media/EJcc1yHXYAAUv2U.jpg'],,0,0,0,False,True,1.1953382460724756e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,11
225,225,1741,1741,JudiDoodlecat,Judi ImWithJezzer DoodlecatÃ°ÂÂ¤Â,3404979952,1154148861763641344,/JudiDoodlecat/status/1154148861763641344,2019-07-24 21:58:26,1564005506,"So 0.3% is not widespread support for No Deal, but 0.06% is widespread AS... personally,  I've blocked Jane, but you might ask her to explain?pic.twitter.com/sgmpi27r5G","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So 0.3% is not widespread support for No Deal, but 0.06% is widespread AS... personally,  I've blocked Jane, but you might ask her to explain?<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/sgmpi27r5G"">pic.twitter.com/sgmpi27r5G</a></p>",[],[],True,['https://pbs.twimg.com/media/EARcRdGXUAAR4H6.jpg'],,0,0,1,True,True,1.1540996358851707e+18,"[{'screen_name': 'PhillipGreenfi6', 'user_id': '900672618998763521'}, {'screen_name': 'WestminsterJane', 'user_id': '862269701744939008'}]",offensive_language,7
228,228,5194,5194,dolly_ste,Stephen,708661033422987264,1163936388745695238,/dolly_ste/status/1163936388745695238,2019-08-20 22:10:34,1566339034,pic.twitter.com/GGWZqDFgWX,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GGWZqDFgWX"">pic.twitter.com/GGWZqDFgWX</a></p>",[],[],True,['https://pbs.twimg.com/media/ECch-R8XUAAl4p6.jpg'],,2,1,0,False,True,1.140570389636178e+18,"[{'screen_name': 'dolly_ste', 'user_id': '708661033422987264'}, {'screen_name': 'my_amigouk', 'user_id': '21790700'}]",offensive_language,8
