,date,name,tweet,stance
0,11,Tom Watson,Blimey. I’ve never seen that. Was that 2015?,no sentiment
1,11,Tom Watson,Impressive news that @UK_Music has now revealed that music contributes £5.2 billion to the economy. I am backing music during this election campaign and want to ensure that we take steps to grow these impressive figures further #MusicByNumbers https://twitter.com/uk_music/status/1197031821202149377 …,leave
2,11,Tom Watson,"well, yes, I guess you're right Audrey.  The data generated has transformed my organisation around sleep and exercise is what I should have said.",no sentiment
3,11,Tom Watson,I consider the @Ouraring to be the most powerful wearable diagnostic device on the market. It has transformed my sleep and helped me understand when and when not to exercise. See how you can win an Oura smart ring here:   http://bit.ly/32Vn1sy  pic.twitter.com/c97MRIUK7H,leave
4,11,Tom Watson,Three fabulous days of learning to be a Level 2 gym instructor. I can’t recommend @FutureFit_UK more highly. pic.twitter.com/pXPdCCMVYX,irrelevant
5,11,Tom Watson,stick with me kid!,stay
6,11,Tom Watson,"If you lost your AirPods in a taxi this morning, get in touch, tell me their name and I’ll get them back to you. pic.twitter.com/ygOEG4M7ZS",irrelevant
7,11,Tom Watson,This has made my day and I’ll be following it up! https://twitter.com/davidlloyduk/status/1194985840021266437 …,stay
8,11,Tom Watson,I think you’ll be ok with the book!,stay
9,11,Tom Watson,Thank you!,irrelevant
10,11,Tom Watson,😉,leave
11,11,Tom Watson,Thank you!,irrelevant
12,11,Tom Watson,Yay - my first order. Great man sceeners!,no sentiment
13,11,Tom Watson,"Did I tell you I'm bringing out a book? Downsizing, in all good bookshops from January. 
Amazon:  https://amzn.to/2m9a4eN 
Waterstones:  http://bit.ly/2K9XXY6 
According to clever literary people, pre-orders really help struggling writers. Please can you help me?",no sentiment
14,11,Tom Watson,I have known Ibrahim and his family for many years. He is a very compassionate man who will work very hard for his constituents. His work with homeless people has been inspirational. Very best wishes to him and the team in West Bromwich. https://twitter.com/ibrahim_dogus/status/1193214174345740293 …,leave
15,11,Tom Watson,"After 35 years in full-time politics, I've decided to step down and will be campaigning to overcome the Tory-fuelled public health crisis. I'm as committed to Labour as ever. I will spend this election fighting for brilliant Labour candidates and a better future for our country. pic.twitter.com/qGqiKTJ6br",leave
16,11,Tom Watson,“Now we have proof: the government used your money to lie about poor people” @chakrabortty in the @guardian https://www.theguardian.com/commentisfree/2019/nov/06/government-universal-credit-deception-asa-taxpayer-funded-features …,leave
17,11,Tom Watson,"A moving portrait of the late Scott Hutchison by @ChrisHawkinsUK, who concludes that one of Scott’s legacies is a repertoire of “hymns to the possibilities of change”. Beautiful. https://www.bbc.co.uk/sounds/play/m0009zby …",irrelevant
18,11,Tom Watson,"The Tory decision to scrap free TV licences for over-75s is utterly callous. From next year 3.7 million older people will lose their free TV licence.
It’s disgraceful. Our message is clear - vote Labour to save free TV licences. https://www.mirror.co.uk/news/politics/free-tv-licences-over-75s-20803772 …",leave
19,11,Tom Watson,We’ll save free TV licences. https://twitter.com/AllieHBNews/status/1191122516024143877 …,leave
20,11,Tom Watson,This is completely disgraceful from Instagram. Amelia's family should have their privacy and wishes respected at this tragic time. Instagram's community standards are clearly morally redundant. Labour will introduce the tech regulator we urgently need. https://www.mirror.co.uk/news/uk-news/family-tragic-backpacker-amelia-bambridge-20796949 …,leave
21,11,Tom Watson,The Tories promised in their last manifesto to keep free TV licences for over-75s but they have completely refused to fund them. Now 3.7 million older people face losing out. In Sept' I met with some veterans of the British Legion - and they are not happy with this broken pledge. pic.twitter.com/Wv2lXAbMvj,leave
22,11,Tom Watson,10. This application is a disgrace. The fundamental question of why a company run by an associate of Boris Johnson was ever given this grant remains unanswered. The public deserve to know why their money was spent so irresponsibly. We will not let this lie.,leave
23,11,Tom Watson,"9. Then there’s this little note at the end.
@HackerHouseUK, if you’re still wondering: No, you’re not. pic.twitter.com/HSPujyR6Sn",irrelevant
24,11,Tom Watson,"8. But apparently that’s ok, because once the public have paid to get the company off the ground, they’ll finally make a profit. pic.twitter.com/ASoumpTFAB",leave
25,11,Tom Watson,7. And that there isn’t any wriggle room pic.twitter.com/S8dmId35e4,irrelevant
26,11,Tom Watson,6. It is made completely clear that the taxpayer’s money she wants is to pay her staff pic.twitter.com/h1Yj6JYmJc,leave
27,11,Tom Watson,5. And they're not wrong about the lack of cash: pic.twitter.com/Uue78IStY1,leave
28,11,Tom Watson,4. The only reason they’re not already the Netflix of security is because they don’t have the money: pic.twitter.com/EDDsaYHaQU,leave
29,11,Tom Watson,3. And she believes her personal charisma is key: pic.twitter.com/c7THFGh0U0,leave
30,11,Tom Watson,2. Jennifer Arcuri claims she wants to set up “the Netflix of security” and that she needs 100k of public money to do it. pic.twitter.com/OcOK0MPftO,irrelevant
31,11,Tom Watson,"1. The Hacker House saga continues – DCMS’ ‘review’ of the grant award is a whitewash. 
No one reading Hacker House’s grant application would give the company a penny, let alone £100,000 of tax payers’ money. 
Let’s take a look…",no sentiment
32,10,Tom Watson,"This is not a business deal, it’s a data grab. This would give Google highly sensitive personal health data on millions of people, and that should worry us all. The CMA should halt and investigate this merger immediately. https://www.theguardian.com/technology/2019/oct/29/labour-calls-for-halt-to-googles-acquisition-of-fitbit …",irrelevant
33,10,Tom Watson,"This Government’s plan to introduce voter ID is a blatant attempt to stop poorer people, minorities and the elderly from voting. There is no compelling evidence that polling station fraud is an issue. We cannot let the Tories shut down our democracy. https://www.expressandstar.com/news/politics/2019/10/29/watson-fury-over-voter-id-plan/ …",leave
34,10,Tom Watson,Great to see the @RegistHERtoVote campaign encouraging women to register to vote. They need our help to reach and support women who might otherwise struggle to claim their right to vote. https://twitter.com/RegistHERtoVote/status/1188866146298204160 …,irrelevant
35,10,Tom Watson,"Happy Bandi Chhor Divas and happy Diwali to everyone celebrating today. This is a time for families to come together, pray and light candles, spreading the message that hope and light overcome darkness.",leave
36,10,Tom Watson,This is fantastic news. Congratulations to all the families of people living with #cysticfibrosis and the campaigners who have fought so hard to get to this day. #orkambinow https://twitter.com/cftrust/status/1187300611341082625 …,leave
37,10,Tom Watson,"Time and again this Prime Minister resorts to his usual bluster to avoid taking responsibility, but we know the truth. The Tories promised to keep free TV licences but have completely refused to fund them. Now 3.7 million people will miss out. https://www.mirror.co.uk/news/politics/boris-johnson-claimed-would-put-20708806 …",leave
38,10,Tom Watson,"Levels of problem gambling among children remain stubbornly high. One child gambling addict is too many, let alone 55,000. Figures show one in ten children are gambling every week. Labour will tackle this head-on with a comprehensive new gambling act.
 https://www.gamblingcommission.gov.uk/news-action-and-statistics/News/gambling-commission-publishes-the-2019-young-people-and-gambling-report …",leave
39,10,Tom Watson,"Amazon is working its factory staff to the bone, clocking every minute of their time, even toilet breaks. This government has handed Amazon £500m of contracts since 2015. There should be no more contracts until these modern slavery practices are ended. https://www.mirror.co.uk/news/politics/labour-demands-action-against-appalling-20701108 …",leave
