,Date,Name,Tweets,Tags,Hashtags,classofspeech
0,1573068304,Donna may be fragile but is still a fighter,Utter hogwash @AmberRuddUK and you know it.... https://twitter.com/dorset_eye/status/1192123932914176000Â Â,,[],neither
1,1573059457,Andy Spreadbury,"So the Election campaign is under way..what a great shame that so many 
talented politicians like 
@mimsdavies  and
@AmberRuddUK  have been forced out because of the way a minority of so called 
Honorable Members have conducted  themselves  and brought Westminster into disrepute",,[],neither
2,1573056446,Maps By Wil,"5: Dudley North is a key Conservative target for this election, having very nearly taken it from Labour in 2017. With a history of large BNP and UKIP vote shares, this constituency is likely to see a good Brexit Party result this year, likely taking votes from both main parties.pic.twitter.com/Lcoh1XySCT",,[],neither
3,1573075977,VP,Made me smile ,,[],neither
4,1573082309,sreenu sanda,Nice to C U after severing this country as a Home Secretary and MP. @AmberRuddUK @BBCNews @Conservatives @ukhomeofficepic.twitter.com/4QVK5MAKwB,,[],neither
5,1573056602,Maps By Wil,"With incumbent MP @IanAustin1965 now sitting as an Independent, it will be hard for Labour to hold on here, having been roundly beaten by the Brexit Party in the European Parliament Elections, reflecting the high leave vote in the constituency in 2016pic.twitter.com/FLvX8WNEff",,[],neither
6,1573056094,my name,"When did it change? And why? When did you notice, observe that this almost open and brazen ability to tell half truths and worse became, the normalised. The recent clip of Starmer being edited is, surely, that is what one would expect in Russia not here. Whatever your politics.",,[],neither
7,1573052530,Maps By Wil,"A comfortable lead for Leave in 2016 translated into a victory for the Brexit Party in 2019. With the leaver vote likely to split between them and the Tories, and the Greens standing aside and endorsing Labour here, this should be an easy Labour gain, but these are volatile timespic.twitter.com/ST0pGPhpqf",,[],neither
8,1573080929,Oliver Harrison,Anyone else think @maitlis looks like she could be @AmberRuddUK long lost sister @BBCNewsnight,,[],neither
9,1573079953,Anonymous,"I have no words to express my disgust at this government, @AmberRuddUK  and the #DWP . Heartless doesn't do it. 
 Now we have proof: the government used your money to lie about poor people | Aditya Chakraborttyhttps://www.theguardian.com/commentisfree/2019/nov/06/government-universal-credit-deception-asa-taxpayer-funded-features?CMP=share_btn_twÂ Â",,['DWP'],neither
10,1573079527,Blow,Do you just play ÂI deportÂ now?,,[],neither
11,1573070261,Pretty Hate Watch Machine,I spy someone who deported Black Britons!,,[],neither
12,1573069757,cornhole,If only everyone could take and reply to personal texted while at work !,,[],neither
13,1573061478,Kingsley Donaldson,You're not alone; the Hon Member for Lagan Valley @J_Donaldson_MP (known as Uncle Jeffy.....) also has such an 'I spy' fan toopic.twitter.com/2ZVvU1InKf,,[],neither
14,1573059890,Ad,@NickyMorgan01 I can't believe you're leaving too. Two of my favourite MP's going. @AmberRuddUK,,[],neither
15,1573059730,Ad,"@AmberRuddUK You're my favourite MP, Amber. A shame to see that you're leaving.",,[],neither
16,1573049099,J Walton,No-one but @AmberRuddUK drove Amber Rudd away. She did that all by herself.,,[],offensive_language
17,1573131968,Amber Rudd,Quite righthttps://twitter.com/rkyte365/status/1192424812636979200Â Â,,[],neither
