,Date,Name,Tweets,Tags,Hashtags,classofspeech
0,1556693344,Heidi Allen,"Your country, not your party MUST come first - if remain matters to you, please vote @TheIndGroup in the EU electionshttps://twitter.com/ForChange_Now/status/1123475597236346880Â 
",,[],neither
1,1556721590,The Independent Group for Change,"""We are recommending that in addition to backing effective and hard working community advocates, people should vote for candidates whose parties unequivocally back a #PeoplesVote and a campaign to #Remain in the EU."" @heidiallen75",,"['PeoplesVote', 'Remain']",neither
2,1556721590,The Independent Group for Change,"""Brexit and local elections are undoubtedly intertwined, because Brexit will have an adverse impact on the economy,"" @heidiallen75 #PeoplesVote #Remain",,"['PeoplesVote', 'Remain']",neither
3,1556693888,Lorelei,I'm not sure if I can trust you.pic.twitter.com/UkwP5Z5E2b,,[],offensive_language
4,1556723467,Work & Pensions Committee,"Chairing our evidence today, @heidiallen75 asks @DWP minister and officials if it is deliberate, or right, that under #UniversalCredit a #disabled person getting #benefits can lose them just because they move home, eg to a new area for a better adapted flat #naturalmigrationpic.twitter.com/u38A2jWCJk",,"['UniversalCredit', 'disabled', 'benefits', 'naturalmigrationpic.twitter.com/u38A2jWCJk']",neither
5,1556743853,Danny Ryan,"Labour sets out policy in a Manifesto.
Voters hate the policy.
Owen Jones says, regardless of policy, vote for us anyway, because our great selling point is we are not Nigel Farage, even if we share with him that same policy you hate. 
FFS",,[],neither
6,1556694892,David Buik,"I am so sorry but with no by-elections, hell has a better chance of freezing over of me voting TIG",,[],offensive_language
7,1556751595,Damon Evans,I hear you. Generations of my family have been Labour supporters - itÂs in my blood - but I canÂt support this lot.,,[],neither
8,1556748916,Graham Potts,So 3 years on we are to believe that a Tory Brexit deserves public confirmation but a labour Brexit doesnÂt? Are either of them remotely related to the promises of any of the leave campaigns?,,[],neither
9,1556745897,Shai,"All of the troubles that idiot Jones is bleeting about were caused by Labour. And now he says, even if you're a remainer you should vote Labour & help them bring an even douchier Brexit than May's -where we're basically still in the EU, but with zero power & only trade benefit.",,[],neither
