,Date,Name,Tweets,Tags,Hashtags,classofspeech
0,1567378061,Anonymous,"Yep

They are the human dace of the old Tory oarty

There's no place for decent people within that satanic place",,[],neither
1,1567377909,Anonymous,Exactly- face the bully down,,[],neither
2,1567377765,Anonymous,If all the rebel MPs threaten to stand as independents - Cummings will be deprived of an election win - you guys hold the cards @PhilipHammondUK @DavidGauke @RoryStewartUK @JustineGreening,,[],neither
3,1567377666,Anonymous,"Interesting isn't it? These guys are all respected by their constituencies

They could conceivably hold seats in a general or by election as independents

That'd screw Cummings...",,[],neither
4,1567377376,Anonymous,"If people like @Sandbach @JustineGreening @SamGyimah @PhilipHammondUK @DavidGauke hold their nerve and stop Johnson in his tracks, putting the national interest over their careers, their place in history is assured and itÂs an honourable place.",,[],neither
5,1567376858,Laura Phelan,Yes.If I were in their shoes I would seriously question if this party was worth my loyalty now.,,[],neither
6,1567374877,Lindsay Ward FRGS,"That is sad to know but for every account like that there will be others who can replace. People have maintained membership, rejoined and joined because of MPs like @RoryStewartUK",,[],neither
7,1567374282,Lindsay Ward FRGS,"2/2 You are totally right that these people are Conservatives. Sadly, there are  those who forgot/never understood what this is about.",,[],neither
8,1567373727,Anonymous,"PLEASE  @PhilipHammondUK @DavidGauke #DominicGrieve @RoryStewartUK @KenClarkeMP @JustineGreening It's over..... join the @LibDems or at the very least, walk away from the Torieshttps://twitter.com/StigAbell/status/1168269318934675459Â Â",,['DominicGrieve'],neither
9,1567372798,Brian Jacobs,What about you @JustineGreening? From a constituent who hopes you'll stick to your principles too.. https://twitter.com/RoryStewartUK/status/1168266343793221632Â Â,,[],offensive_language
10,1567371886,We #BackBoris,"@PhilipHammondUK
@DavidGauke
@GregClarkMP
@RoryStewartUK
@EdVaizey
@AlistairBurtUK
@AlbertoCostaMP
@NSoames
@SNewtonUK
@Sandbach
@DrPhillipLeeMP
@JustineGreening
@SamGyimah
Dominic Grieve

MPs do not get to choose which public votes they respect.https://twitter.com/alexwickham/status/1168264692520882176Â Â",,[],neither
11,1567370286,Anonymous,@JustineGreening @S_Hammond youÂre waay stronger than that #putney #Wimbledon #StopTheCoup @ToriesVsBrexithttps://twitter.com/alexwickham/status/1168241551069319169Â Â,,"['putney', 'Wimbledon', 'StopTheCoup']",neither
12,1567354368,Anonymous,"@SamGyimah @JustineGreening @TomTugendhat 
You're better than this lot of unprincipled liars.
#CrossTheFloorhttps://twitter.com/cathsuff/status/1168134440171778048Â Â",,['CrossTheFloorhttps://twitter.com/cathsuff/status/1168134440171778048'],neither
13,1567344638,Anonymous,"Virtual Pilgrim - Te Araroa Day 168

A Tennyson line, long remembered,
springs to mind:

ÂAs on this whirligig of Time
We circle with the seasonsÂ

The whirligig is in full swing
as I rest, unexpectedly cast
horizontal,

and praying for 
@JustineGreening and all MPs
this week. https://twitter.com/metoffice/status/1168086592365289472Â Â",,[],neither
14,1567342909,Anonymous,Or a Loyal Address requiring that prorogation be cancelled. @Keir_Starmer @MrKennethClarke @JustineGreening @hilarybennmp,,[],neither
15,1567340830,Janet Logan #RespectToThe 21+1 #FBPE #WeAreRemain,2. It does matter in which order. PV first gives clarity for any new manifesto prior to a GE.,,[],neither
16,1567339586,Anonymous,"Hopefully the Tory Party collapses and genuinely Liberal people like @JustineGreening decide to join the ONE true Liberal Party in the UK, the Liberal Democrats. @LibDems",,[],neither
17,1567333009,Kiel Robinson,"A payslip + bank card + utility bill should be all Current Eu Nationals need  to be given right to stay in UK. Make it happen, make it official 
@BorisJohnson @JamesCleverly @Jacob_Rees_Mogg @sajidjavid @patel4witham @Conservatives @JustineGreening",,[],neither
